Year,State,Age Group,Total Blood Donations
2011,Negeri Sembilan,60-64,2
2011,Negeri Sembilan,other,1
2011,Pahang,17-24,2266
2011,Pahang,25-29,598
2011,Pahang,30-34,487
2011,Pahang,35-39,408
2011,Pahang,40-44,352
2011,Pahang,45-49,340
2011,Pahang,50-54,224
2011,Pahang,55-59,105
2011,Pahang,60-64,9
2011,Pahang,other,6
2011,Perak,17-24,8846
2011,Perak,25-29,1558
2011,Perak,30-34,1086
2011,Perak,35-39,892
2011,Perak,40-44,747
2011,Perak,45-49,506
2011,Perak,50-54,336
2011,Perak,55-59,105
2011,Perak,60-64,9
2011,Perak,other,24
2011,Pulau Pinang,17-24,0
2011,Pulau Pinang,25-29,0
2011,Pulau Pinang,30-34,0
2011,Pulau Pinang,35-39,0
2011,Pulau Pinang,40-44,0
2011,Pulau Pinang,45-49,0
2011,Pulau Pinang,50-54,0
2011,Pulau Pinang,55-59,0
2011,Pulau Pinang,60-64,0
2011,Pulau Pinang,other,0
2011,Sabah,17-24,4388
2011,Sabah,25-29,1430
2011,Sabah,30-34,899
2011,Sabah,35-39,563
2011,Sabah,40-44,491
2011,Sabah,45-49,382
2011,Sabah,50-54,213
2011,Sabah,55-59,96
2011,Sabah,60-64,6
2011,Sabah,other,47
2011,Sarawak,17-24,2028
2011,Sarawak,25-29,720
2011,Sarawak,30-34,523
2011,Sarawak,35-39,448
2011,Sarawak,40-44,358
2011,Sarawak,45-49,249
2011,Sarawak,50-54,119
2011,Sarawak,55-59,62
2011,Sarawak,60-64,2
2011,Sarawak,other,3
2011,Selangor,17-24,4987
2011,Selangor,25-29,1938
2011,Selangor,30-34,1448
2011,Selangor,35-39,1227
2011,Selangor,40-44,972
2011,Selangor,45-49,633
2011,Selangor,50-54,362
2011,Selangor,55-59,136
2011,Selangor,60-64,10
2011,Selangor,other,17
2011,Terengganu,17-24,4986
2011,Terengganu,25-29,601
2011,Terengganu,30-34,326
2011,Terengganu,35-39,199
2011,Terengganu,40-44,169
2011,Terengganu,45-49,133
2011,Terengganu,50-54,83
2011,Terengganu,55-59,20
2011,Terengganu,60-64,6
2011,Terengganu,other,4
2011,W.P. Kuala Lumpur,17-24,27718
2011,W.P. Kuala Lumpur,25-29,11080
2011,W.P. Kuala Lumpur,30-34,7243
2011,W.P. Kuala Lumpur,35-39,4992
2011,W.P. Kuala Lumpur,40-44,3351
2011,W.P. Kuala Lumpur,45-49,2097
2011,W.P. Kuala Lumpur,50-54,1176
2011,W.P. Kuala Lumpur,55-59,446
2011,W.P. Kuala Lumpur,60-64,28
2011,W.P. Kuala Lumpur,other,21
2012,Johor,17-24,4679
2012,Johor,25-29,2358
2012,Johor,30-34,1827
2012,Johor,35-39,1421
2012,Johor,40-44,1167
2012,Johor,45-49,712
2012,Johor,50-54,458
2012,Johor,55-59,178
2012,Johor,60-64,29
2012,Johor,other,87
2012,Kedah,17-24,11374
2012,Kedah,25-29,2268
2012,Kedah,30-34,1738
2012,Kedah,35-39,1422
2012,Kedah,40-44,1190
2012,Kedah,45-49,791
2012,Kedah,50-54,504
2012,Kedah,55-59,197
2012,Kedah,60-64,21
2012,Kedah,other,13
2012,Kelantan,17-24,2466
2012,Kelantan,25-29,543
2012,Kelantan,30-34,333
2012,Kelantan,35-39,263
2012,Kelantan,40-44,228
2012,Kelantan,45-49,174
2012,Kelantan,50-54,126
2012,Kelantan,55-59,56
2012,Kelantan,60-64,4
2012,Kelantan,other,11
2012,Melaka,17-24,6156
2012,Melaka,25-29,1213
2012,Melaka,30-34,1002
2012,Melaka,35-39,750
2012,Melaka,40-44,600
2012,Melaka,45-49,451
2012,Melaka,50-54,314
2012,Melaka,55-59,131
2012,Melaka,60-64,10
2012,Melaka,other,27
2012,Negeri Sembilan,17-24,3122
2012,Negeri Sembilan,25-29,793
2012,Negeri Sembilan,30-34,600
2012,Negeri Sembilan,35-39,444
2012,Negeri Sembilan,40-44,314
2012,Negeri Sembilan,45-49,211
2012,Negeri Sembilan,50-54,109
2012,Negeri Sembilan,55-59,50
2012,Negeri Sembilan,60-64,6
2012,Negeri Sembilan,other,7
2012,Pahang,17-24,3911
2012,Pahang,25-29,834
2012,Pahang,30-34,675
2012,Pahang,35-39,524
2012,Pahang,40-44,490
2012,Pahang,45-49,379
2012,Pahang,50-54,268
2012,Pahang,55-59,120
2012,Pahang,60-64,6
2012,Pahang,other,2
2012,Perak,17-24,8848
2012,Perak,25-29,1446
2012,Perak,30-34,1111
2012,Perak,35-39,871
2012,Perak,40-44,747
2012,Perak,45-49,545
2012,Perak,50-54,343
2012,Perak,55-59,133
2012,Perak,60-64,8
2012,Perak,other,44
2012,Pulau Pinang,17-24,0
2012,Pulau Pinang,25-29,0
2012,Pulau Pinang,30-34,0
2012,Pulau Pinang,35-39,0
2012,Pulau Pinang,40-44,0
2012,Pulau Pinang,45-49,0
2012,Pulau Pinang,50-54,0
2012,Pulau Pinang,55-59,0
2012,Pulau Pinang,60-64,0
2012,Pulau Pinang,other,0
2012,Sabah,17-24,4206
2012,Sabah,25-29,1567
2012,Sabah,30-34,975
2012,Sabah,35-39,684
2012,Sabah,40-44,473
2012,Sabah,45-49,342
2012,Sabah,50-54,219
2012,Sabah,55-59,81
2012,Sabah,60-64,12
2012,Sabah,other,48
2012,Sarawak,17-24,1714
2012,Sarawak,25-29,720
2012,Sarawak,30-34,576
2012,Sarawak,35-39,444
2012,Sarawak,40-44,376
2012,Sarawak,45-49,236
2012,Sarawak,50-54,162
2012,Sarawak,55-59,63
2012,Sarawak,60-64,4
2012,Sarawak,other,4
2012,Selangor,17-24,3862
2012,Selangor,25-29,1670
2012,Selangor,30-34,1367
2012,Selangor,35-39,1063
2012,Selangor,40-44,813
2012,Selangor,45-49,550
2012,Selangor,50-54,318
2012,Selangor,55-59,115
2012,Selangor,60-64,13
2012,Selangor,other,17
2012,Terengganu,17-24,4607
2012,Terengganu,25-29,626
2012,Terengganu,30-34,335
2012,Terengganu,35-39,198
2012,Terengganu,40-44,151
2012,Terengganu,45-49,107
2012,Terengganu,50-54,52
2012,Terengganu,55-59,12
2012,Terengganu,60-64,0
2012,Terengganu,other,14
2012,W.P. Kuala Lumpur,17-24,25836
2012,W.P. Kuala Lumpur,25-29,9683
2012,W.P. Kuala Lumpur,30-34,6779
2012,W.P. Kuala Lumpur,35-39,4545
2012,W.P. Kuala Lumpur,40-44,3105
2012,W.P. Kuala Lumpur,45-49,2099
2012,W.P. Kuala Lumpur,50-54,1171
2012,W.P. Kuala Lumpur,55-59,476
2012,W.P. Kuala Lumpur,60-64,31
2012,W.P. Kuala Lumpur,other,6
2013,Johor,17-24,4602
2013,Johor,25-29,2101
2013,Johor,30-34,1798
2013,Johor,35-39,1383
2013,Johor,40-44,1009
2013,Johor,45-49,674
2013,Johor,50-54,405
2013,Johor,55-59,148
2013,Johor,60-64,10
2013,Johor,other,39
2013,Kedah,17-24,11576
2013,Kedah,25-29,2237
2013,Kedah,30-34,1808
2013,Kedah,35-39,1373
2013,Kedah,40-44,1016
2013,Kedah,45-49,682
2013,Kedah,50-54,414
2013,Kedah,55-59,161
2013,Kedah,60-64,21
2013,Kedah,other,11
2013,Kelantan,17-24,3160
2013,Kelantan,25-29,545
2013,Kelantan,30-34,410
2013,Kelantan,35-39,300
2013,Kelantan,40-44,239
2013,Kelantan,45-49,177
2013,Kelantan,50-54,90
2013,Kelantan,55-59,36
2013,Kelantan,60-64,2
2013,Kelantan,other,9
2013,Melaka,17-24,6768
2013,Melaka,25-29,1366
2013,Melaka,30-34,958
2013,Melaka,35-39,700
2013,Melaka,40-44,602
2013,Melaka,45-49,390
2013,Melaka,50-54,259
2013,Melaka,55-59,111
2013,Melaka,60-64,9
2013,Melaka,other,14
2013,Negeri Sembilan,17-24,3857
2013,Negeri Sembilan,25-29,809
2013,Negeri Sembilan,30-34,592
2013,Negeri Sembilan,35-39,423
2013,Negeri Sembilan,40-44,283
2013,Negeri Sembilan,45-49,215
2013,Negeri Sembilan,50-54,126
2013,Negeri Sembilan,55-59,47
2013,Negeri Sembilan,60-64,4
2013,Negeri Sembilan,other,3
2013,Pahang,17-24,3014
2013,Pahang,25-29,615
2013,Pahang,30-34,512
2013,Pahang,35-39,405
2013,Pahang,40-44,329
2013,Pahang,45-49,265
2013,Pahang,50-54,179
2013,Pahang,55-59,67
2013,Pahang,60-64,6
2013,Pahang,other,5
2013,Perak,17-24,9747
2013,Perak,25-29,2104
2013,Perak,30-34,1513
2013,Perak,35-39,1174
2013,Perak,40-44,1118
2013,Perak,45-49,780
2013,Perak,50-54,541
2013,Perak,55-59,224
2013,Perak,60-64,31
2013,Perak,other,55
2013,Pulau Pinang,17-24,0
2013,Pulau Pinang,25-29,0
2013,Pulau Pinang,30-34,0
2013,Pulau Pinang,35-39,0
2013,Pulau Pinang,40-44,0
2013,Pulau Pinang,45-49,0
2013,Pulau Pinang,50-54,0
2013,Pulau Pinang,55-59,0
2013,Pulau Pinang,60-64,0
2013,Pulau Pinang,other,0
2013,Sabah,17-24,3916
2013,Sabah,25-29,1477
2013,Sabah,30-34,1091
2013,Sabah,35-39,782
2013,Sabah,40-44,554
2013,Sabah,45-49,401
2013,Sabah,50-54,270
2013,Sabah,55-59,111
2013,Sabah,60-64,14
2013,Sabah,other,31
2013,Sarawak,17-24,1946
2013,Sarawak,25-29,827
2013,Sarawak,30-34,607
2013,Sarawak,35-39,556
2013,Sarawak,40-44,472
2013,Sarawak,45-49,325
2013,Sarawak,50-54,189
2013,Sarawak,55-59,98
2013,Sarawak,60-64,6
2013,Sarawak,other,4
2013,Selangor,17-24,3666
2013,Selangor,25-29,1393
2013,Selangor,30-34,1078
2013,Selangor,35-39,857
2013,Selangor,40-44,604
2013,Selangor,45-49,456
2013,Selangor,50-54,237
2013,Selangor,55-59,107
2013,Selangor,60-64,4
2013,Selangor,other,13
2013,Terengganu,17-24,4536
2013,Terengganu,25-29,537
2013,Terengganu,30-34,303
2013,Terengganu,35-39,190
2013,Terengganu,40-44,151
2013,Terengganu,45-49,103
2013,Terengganu,50-54,49
2013,Terengganu,55-59,15
2013,Terengganu,60-64,0
2013,Terengganu,other,2
2013,W.P. Kuala Lumpur,17-24,23292
2013,W.P. Kuala Lumpur,25-29,9776
2013,W.P. Kuala Lumpur,30-34,6995
2013,W.P. Kuala Lumpur,35-39,4823
2013,W.P. Kuala Lumpur,40-44,3171
2013,W.P. Kuala Lumpur,45-49,2039
2013,W.P. Kuala Lumpur,50-54,1231
2013,W.P. Kuala Lumpur,55-59,498
2013,W.P. Kuala Lumpur,60-64,27
2013,W.P. Kuala Lumpur,other,6
2014,Johor,17-24,4944
2014,Johor,25-29,2161
2014,Johor,30-34,1814
2014,Johor,35-39,1448
2014,Johor,40-44,1117
2014,Johor,45-49,681
2014,Johor,50-54,432
2014,Johor,55-59,202
2014,Johor,60-64,28
2014,Johor,other,38
2014,Kedah,17-24,11804
2014,Kedah,25-29,2318
2014,Kedah,30-34,1752
2014,Kedah,35-39,1255
2014,Kedah,40-44,990
2014,Kedah,45-49,660
2014,Kedah,50-54,442
2014,Kedah,55-59,172
2014,Kedah,60-64,14
2014,Kedah,other,16
2014,Kelantan,17-24,2991
2014,Kelantan,25-29,588
2014,Kelantan,30-34,420
2014,Kelantan,35-39,309
2014,Kelantan,40-44,277
2014,Kelantan,45-49,168
2014,Kelantan,50-54,113
2014,Kelantan,55-59,36
2014,Kelantan,60-64,8
2014,Kelantan,other,2
2014,Melaka,17-24,6309
2014,Melaka,25-29,1115
2014,Melaka,30-34,845
2014,Melaka,35-39,706
2014,Melaka,40-44,530
2014,Melaka,45-49,382
2014,Melaka,50-54,244
2014,Melaka,55-59,125
2014,Melaka,60-64,11
2014,Melaka,other,10
2014,Negeri Sembilan,17-24,2767
2014,Negeri Sembilan,25-29,608
2014,Negeri Sembilan,30-34,594
2014,Negeri Sembilan,35-39,405
2014,Negeri Sembilan,40-44,324
2014,Negeri Sembilan,45-49,235
2014,Negeri Sembilan,50-54,149
2014,Negeri Sembilan,55-59,67
2014,Negeri Sembilan,60-64,6
2014,Negeri Sembilan,other,6
2014,Pahang,17-24,3510
2014,Pahang,25-29,508
2014,Pahang,30-34,474
2014,Pahang,35-39,309
2014,Pahang,40-44,235
2014,Pahang,45-49,169
2014,Pahang,50-54,138
2014,Pahang,55-59,74
2014,Pahang,60-64,2
2014,Pahang,other,2
2014,Perak,17-24,8913
2014,Perak,25-29,1749
2014,Perak,30-34,1488
2014,Perak,35-39,1112
2014,Perak,40-44,842
2014,Perak,45-49,554
2014,Perak,50-54,398
2014,Perak,55-59,163
2014,Perak,60-64,13
2014,Perak,other,64
2014,Pulau Pinang,17-24,4779
2014,Pulau Pinang,25-29,2714
2014,Pulau Pinang,30-34,3018
2014,Pulau Pinang,35-39,2727
2014,Pulau Pinang,40-44,2241
2014,Pulau Pinang,45-49,1690
2014,Pulau Pinang,50-54,827
2014,Pulau Pinang,55-59,306
2014,Pulau Pinang,60-64,66
2014,Pulau Pinang,other,8
2014,Sabah,17-24,3442
2014,Sabah,25-29,1468
2014,Sabah,30-34,1078
2014,Sabah,35-39,834
2014,Sabah,40-44,576
2014,Sabah,45-49,373
2014,Sabah,50-54,285
2014,Sabah,55-59,111
2014,Sabah,60-64,13
2014,Sabah,other,27
2014,Sarawak,17-24,3298
2014,Sarawak,25-29,1740
2014,Sarawak,30-34,1272
2014,Sarawak,35-39,1214
2014,Sarawak,40-44,989
2014,Sarawak,45-49,774
2014,Sarawak,50-54,544
2014,Sarawak,55-59,257
2014,Sarawak,60-64,25
2014,Sarawak,other,3
2014,Selangor,17-24,3987
2014,Selangor,25-29,1357
2014,Selangor,30-34,1104
2014,Selangor,35-39,852
2014,Selangor,40-44,673
2014,Selangor,45-49,450
2014,Selangor,50-54,208
2014,Selangor,55-59,110
2014,Selangor,60-64,6
2014,Selangor,other,13
2014,Terengganu,17-24,4769
2014,Terengganu,25-29,488
2014,Terengganu,30-34,321
2014,Terengganu,35-39,163
2014,Terengganu,40-44,119
2014,Terengganu,45-49,79
2014,Terengganu,50-54,48
2014,Terengganu,55-59,16
2014,Terengganu,60-64,1
2014,Terengganu,other,2
2014,W.P. Kuala Lumpur,17-24,25972
2014,W.P. Kuala Lumpur,25-29,9200
2014,W.P. Kuala Lumpur,30-34,6994
2014,W.P. Kuala Lumpur,35-39,5034
2014,W.P. Kuala Lumpur,40-44,3183
2014,W.P. Kuala Lumpur,45-49,2090
2014,W.P. Kuala Lumpur,50-54,1243
2014,W.P. Kuala Lumpur,55-59,503
2014,W.P. Kuala Lumpur,60-64,27
2014,W.P. Kuala Lumpur,other,6
2015,Johor,17-24,5112
2015,Johor,25-29,2106
2015,Johor,30-34,1872
2015,Johor,35-39,1445
2015,Johor,40-44,1017
2015,Johor,45-49,679
2015,Johor,50-54,402
2015,Johor,55-59,175
2015,Johor,60-64,31
2015,Johor,other,66
2015,Kedah,17-24,11522
2015,Kedah,25-29,2323
2015,Kedah,30-34,1830
2015,Kedah,35-39,1373
2015,Kedah,40-44,1049
2015,Kedah,45-49,708
2015,Kedah,50-54,508
2015,Kedah,55-59,217
2015,Kedah,60-64,16
2015,Kedah,other,14
2015,Kelantan,17-24,5353
2015,Kelantan,25-29,852
2015,Kelantan,30-34,652
2015,Kelantan,35-39,475
2015,Kelantan,40-44,410
2015,Kelantan,45-49,294
2015,Kelantan,50-54,152
2015,Kelantan,55-59,96
2015,Kelantan,60-64,8
2015,Kelantan,other,1
2015,Melaka,17-24,5811
2015,Melaka,25-29,1275
2015,Melaka,30-34,1037
2015,Melaka,35-39,749
2015,Melaka,40-44,581
2015,Melaka,45-49,440
2015,Melaka,50-54,276
2015,Melaka,55-59,147
2015,Melaka,60-64,13
2015,Melaka,other,11
2015,Negeri Sembilan,17-24,3418
2015,Negeri Sembilan,25-29,754
2015,Negeri Sembilan,30-34,647
2015,Negeri Sembilan,35-39,486
2015,Negeri Sembilan,40-44,380
2015,Negeri Sembilan,45-49,313
2015,Negeri Sembilan,50-54,215
2015,Negeri Sembilan,55-59,92
2015,Negeri Sembilan,60-64,19
2015,Negeri Sembilan,other,2
2015,Pahang,17-24,3169
2015,Pahang,25-29,494
2015,Pahang,30-34,467
2015,Pahang,35-39,292
2015,Pahang,40-44,243
2015,Pahang,45-49,218
2015,Pahang,50-54,180
2015,Pahang,55-59,67
2015,Pahang,60-64,14
2015,Pahang,other,1
2015,Perak,17-24,8821
2015,Perak,25-29,1661
2015,Perak,30-34,1418
2015,Perak,35-39,1090
2015,Perak,40-44,809
2015,Perak,45-49,527
2015,Perak,50-54,390
2015,Perak,55-59,174
2015,Perak,60-64,22
2015,Perak,other,25
2015,Pulau Pinang,17-24,6196
2015,Pulau Pinang,25-29,2684
2015,Pulau Pinang,30-34,2687
2015,Pulau Pinang,35-39,2360
2015,Pulau Pinang,40-44,1758
2015,Pulau Pinang,45-49,1217
2015,Pulau Pinang,50-54,403
2015,Pulau Pinang,55-59,96
2015,Pulau Pinang,60-64,7
2015,Pulau Pinang,other,9
2015,Sabah,17-24,3518
2015,Sabah,25-29,1477
2015,Sabah,30-34,1147
2015,Sabah,35-39,830
2015,Sabah,40-44,552
2015,Sabah,45-49,412
2015,Sabah,50-54,240
2015,Sabah,55-59,112
2015,Sabah,60-64,13
2015,Sabah,other,21
2015,Sarawak,17-24,4274
2015,Sarawak,25-29,1837
2015,Sarawak,30-34,1598
2015,Sarawak,35-39,1356
2015,Sarawak,40-44,1100
2015,Sarawak,45-49,903
2015,Sarawak,50-54,609
2015,Sarawak,55-59,298
2015,Sarawak,60-64,24
2015,Sarawak,other,0
2015,Selangor,17-24,3692
2015,Selangor,25-29,1354
2015,Selangor,30-34,1112
2015,Selangor,35-39,906
2015,Selangor,40-44,602
2015,Selangor,45-49,461
2015,Selangor,50-54,245
2015,Selangor,55-59,110
2015,Selangor,60-64,5
2015,Selangor,other,1
2015,Terengganu,17-24,4530
2015,Terengganu,25-29,596
2015,Terengganu,30-34,393
2015,Terengganu,35-39,254
2015,Terengganu,40-44,188
2015,Terengganu,45-49,134
2015,Terengganu,50-54,100
2015,Terengganu,55-59,53
2015,Terengganu,60-64,2
2015,Terengganu,other,2
2015,W.P. Kuala Lumpur,17-24,24001
2015,W.P. Kuala Lumpur,25-29,9298
2015,W.P. Kuala Lumpur,30-34,7256
2015,W.P. Kuala Lumpur,35-39,5179
2015,W.P. Kuala Lumpur,40-44,3367
2015,W.P. Kuala Lumpur,45-49,2153
2015,W.P. Kuala Lumpur,50-54,1298
2015,W.P. Kuala Lumpur,55-59,584
2015,W.P. Kuala Lumpur,60-64,47
2015,W.P. Kuala Lumpur,other,4
2016,Johor,17-24,4305
2016,Johor,25-29,1584
2016,Johor,30-34,1456
2016,Johor,35-39,1092
2016,Johor,40-44,854
2016,Johor,45-49,558
2016,Johor,50-54,350
2016,Johor,55-59,153
2016,Johor,60-64,26
2016,Johor,other,11
2016,Kedah,17-24,9804
2016,Kedah,25-29,2211
2016,Kedah,30-34,1734
2016,Kedah,35-39,1288
2016,Kedah,40-44,997
2016,Kedah,45-49,652
2016,Kedah,50-54,444
2016,Kedah,55-59,209
2016,Kedah,60-64,23
2016,Kedah,other,7
2016,Kelantan,17-24,4267
2016,Kelantan,25-29,753
2016,Kelantan,30-34,572
2016,Kelantan,35-39,448
2016,Kelantan,40-44,375
2016,Kelantan,45-49,258
2016,Kelantan,50-54,176
2016,Kelantan,55-59,87
2016,Kelantan,60-64,11
2016,Kelantan,other,3
2016,Melaka,17-24,5712
2016,Melaka,25-29,1149
2016,Melaka,30-34,942
2016,Melaka,35-39,678
2016,Melaka,40-44,506
2016,Melaka,45-49,383
2016,Melaka,50-54,261
2016,Melaka,55-59,133
2016,Melaka,60-64,18
2016,Melaka,other,5
2016,Negeri Sembilan,17-24,2845
2016,Negeri Sembilan,25-29,794
2016,Negeri Sembilan,30-34,694
2016,Negeri Sembilan,35-39,533
2016,Negeri Sembilan,40-44,435
2016,Negeri Sembilan,45-49,273
2016,Negeri Sembilan,50-54,244
2016,Negeri Sembilan,55-59,100
2016,Negeri Sembilan,60-64,15
2016,Negeri Sembilan,other,4
2016,Pahang,17-24,2501
2016,Pahang,25-29,411
2016,Pahang,30-34,383
2016,Pahang,35-39,321
2016,Pahang,40-44,224
2016,Pahang,45-49,167
2016,Pahang,50-54,128
2016,Pahang,55-59,53
2016,Pahang,60-64,2
2016,Pahang,other,5
2016,Perak,17-24,8522
2016,Perak,25-29,1687
2016,Perak,30-34,1526
2016,Perak,35-39,1049
2016,Perak,40-44,789
2016,Perak,45-49,607
2016,Perak,50-54,392
2016,Perak,55-59,186
2016,Perak,60-64,17
2016,Perak,other,12
2016,Pulau Pinang,17-24,5280
2016,Pulau Pinang,25-29,2252
2016,Pulau Pinang,30-34,2189
2016,Pulau Pinang,35-39,1878
2016,Pulau Pinang,40-44,1308
2016,Pulau Pinang,45-49,892
2016,Pulau Pinang,50-54,386
2016,Pulau Pinang,55-59,134
2016,Pulau Pinang,60-64,7
2016,Pulau Pinang,other,7
2016,Sabah,17-24,4061
2016,Sabah,25-29,1840
2016,Sabah,30-34,1636
2016,Sabah,35-39,1409
2016,Sabah,40-44,1058
2016,Sabah,45-49,737
2016,Sabah,50-54,545
2016,Sabah,55-59,293
2016,Sabah,60-64,24
2016,Sabah,other,12
2016,Sarawak,17-24,3503
2016,Sarawak,25-29,1529
2016,Sarawak,30-34,1204
2016,Sarawak,35-39,965
2016,Sarawak,40-44,691
2016,Sarawak,45-49,506
2016,Sarawak,50-54,329
2016,Sarawak,55-59,169
2016,Sarawak,60-64,17
2016,Sarawak,other,1
2016,Selangor,17-24,3654
2016,Selangor,25-29,1282
2016,Selangor,30-34,1099
2016,Selangor,35-39,895
2016,Selangor,40-44,603
2016,Selangor,45-49,414
2016,Selangor,50-54,223
2016,Selangor,55-59,108
2016,Selangor,60-64,10
2016,Selangor,other,3
2016,Terengganu,17-24,4522
2016,Terengganu,25-29,480
2016,Terengganu,30-34,379
2016,Terengganu,35-39,281
2016,Terengganu,40-44,173
2016,Terengganu,45-49,137
2016,Terengganu,50-54,69
2016,Terengganu,55-59,43
2016,Terengganu,60-64,3
2016,Terengganu,other,4
2016,W.P. Kuala Lumpur,17-24,24316
