Date,Blood Type,Donations
2010-05-22,all,2385
2010-05-23,all,1051
2010-05-24,all,3367
2010-05-25,all,1012
2010-05-26,all,887
2010-05-27,all,846
2010-05-28,all,2159
2010-05-29,all,843
2010-05-30,all,1393
2010-05-31,all,674
2010-06-01,all,507
2010-06-02,all,1383
2010-06-03,all,1142
2010-06-04,all,1116
2010-06-05,all,822
2010-06-06,all,1060
2010-06-07,all,582
2010-06-08,all,759
2010-06-09,all,732
2010-06-10,all,867
2010-06-11,all,552
2010-06-12,all,867
2010-06-13,all,1784
2010-06-14,all,821
2010-06-15,all,720
2010-06-16,all,1103
2010-06-17,all,1230
2010-06-18,all,586
2010-06-19,all,759
2010-06-20,all,1879
2010-06-21,all,537
2010-06-22,all,506
2010-06-23,all,1128
2010-06-24,all,1214
2010-06-25,all,1055
2010-06-26,all,1133
2010-06-27,all,1535
2010-06-28,all,858
2010-06-29,all,1136
2010-06-30,all,1024
2010-07-01,all,659
2010-07-02,all,257
2010-07-03,all,1168
2010-07-04,all,1602
2010-07-05,all,566
2010-07-06,all,1073
2010-07-07,all,969
2010-07-08,all,1033
2010-07-09,all,458
2010-07-10,all,953
2010-07-11,all,1610
2010-07-12,all,587
2010-07-13,all,1146
2010-07-14,all,1320
2010-07-15,all,1357
2010-07-16,all,1102
2010-07-17,all,919
2010-07-18,all,1713
2010-07-19,all,856
2010-07-20,all,1103
2010-07-21,all,1465
2010-07-22,all,1396
2010-07-23,all,764
2010-07-24,all,1206
2010-07-25,all,1495
2010-07-26,all,1333
2010-07-27,all,1593
2010-07-28,all,1611
2010-07-29,all,2050
2010-07-30,all,1403
2010-07-31,all,1785
2010-08-01,all,1295
2010-08-02,all,1275
2010-08-03,all,2364
2010-08-04,all,1688
2010-08-05,all,1685
2010-08-06,all,1497
2010-08-07,all,1928
2010-08-08,all,2783
2010-08-09,all,1426
2010-08-10,all,1225
2010-08-11,all,357
2010-08-12,all,236
2010-08-13,all,525
2010-08-14,all,274
2010-08-15,all,1953
2010-08-16,all,272
2010-08-17,all,427
2010-08-18,all,415
2010-08-19,all,361
2010-08-20,all,588
2010-08-21,all,557
2010-08-22,all,1792
2010-08-23,all,465
2010-08-24,all,730
2010-08-25,all,835
2010-08-26,all,859
2010-08-27,all,433
2010-08-28,all,623
2010-08-29,all,1684
2010-08-30,all,599
2010-08-31,all,731
2010-09-01,all,539
2010-09-02,all,417
2010-09-03,all,810
2010-09-04,all,563
2010-09-05,all,1640
2010-09-06,all,406
2010-09-07,all,551
2010-09-08,all,459
2010-09-09,all,210
2010-09-10,all,1
2010-09-11,all,6
2010-09-12,all,766
2010-09-13,all,411
2010-09-14,all,537
2010-09-15,all,651
2010-09-16,all,504
2010-09-17,all,547
2010-09-18,all,2500
2010-09-19,all,1742
2010-09-20,all,686
2010-09-21,all,801
2010-09-22,all,1034
2010-09-23,all,1213
2010-09-24,all,1147
2010-09-25,all,922
2010-09-26,all,2159
2010-09-27,all,781
2010-09-28,all,1233
2010-09-29,all,1157
2010-09-30,all,1207
2010-10-01,all,966
2010-10-02,all,1229
2010-10-03,all,1491
2010-10-04,all,933
2010-10-05,all,1045
2010-10-06,all,1513
2010-10-07,all,1004
2010-10-08,all,820
2010-10-09,all,1178
2010-10-10,all,1785
2010-10-11,all,884
2010-10-12,all,1044
2010-10-13,all,1276
2010-10-14,all,1362
2010-10-15,all,799
2010-10-16,all,1077
2010-10-17,all,1532
2010-10-18,all,1189
2010-10-19,all,1281
2010-10-20,all,1571
2010-10-21,all,1276
2010-10-22,all,443
2010-10-23,all,942
2010-10-24,all,2042
2010-10-25,all,685
2010-10-26,all,991
2010-10-27,all,1450
2010-10-28,all,1120
2010-10-29,all,1183
2010-10-30,all,743
2010-10-31,all,1528
2010-11-01,all,1109
2010-11-02,all,798
2010-11-03,all,1002
2010-11-04,all,718
2010-11-05,all,749
2010-11-06,all,674
2010-11-07,all,1184
2010-11-08,all,832
2010-11-09,all,1216
2010-11-10,all,1525
2010-11-11,all,1535
2010-11-12,all,642
2010-11-13,all,771
2010-11-14,all,1889
2010-11-15,all,735
2010-11-16,all,656
2010-11-17,all,59
2010-11-18,all,474
2010-11-19,all,612
2010-11-20,all,902
2010-11-21,all,1419
2010-11-22,all,468
2010-11-23,all,972
2010-11-24,all,1029
2010-11-25,all,1595
2010-11-26,all,847
2010-11-27,all,765
2010-11-28,all,1531
2010-11-29,all,840
2010-11-30,all,929
2010-12-01,all,1005
2010-12-02,all,1241
2010-12-03,all,925
2010-12-04,all,924
2010-12-05,all,1722
2010-12-06,all,612
2010-12-07,all,517
2010-12-08,all,889
2010-12-09,all,792
2010-12-10,all,657
2010-12-11,all,791
2010-12-12,all,2435
2010-12-13,all,683
2010-12-14,all,1272
2010-12-15,all,1130
2010-12-16,all,1521
2010-12-17,all,740
2010-12-18,all,933
2010-12-19,all,1635
2010-12-20,all,821
2010-12-21,all,1068
2010-12-22,all,1079
2010-12-23,all,850
2010-12-24,all,442
2010-12-25,all,504
2010-12-26,all,1222
2010-12-27,all,794
2010-12-28,all,738
2010-12-29,all,933
2010-12-30,all,891
2010-12-31,all,376
2011-01-01,all,638
2011-01-02,all,805
2011-01-03,all,499
2011-01-04,all,771
2011-01-05,all,1247
2011-01-06,all,1345
2011-01-07,all,875
2011-01-08,all,1062
2011-01-09,all,1667
2011-01-10,all,1093
2011-01-11,all,1513
2011-01-12,all,1457
2011-01-13,all,1444
2011-01-14,all,566
2011-01-15,all,793
2011-01-16,all,1165
2011-01-17,all,1247
2011-01-18,all,1589
2011-01-19,all,1589
2011-01-20,all,2206
2011-01-21,all,1233
2011-01-22,all,845
2011-01-23,all,1197
2011-01-24,all,1189
2011-01-25,all,1573
2011-01-26,all,1600
2011-01-27,all,1773
2011-01-28,all,801
2011-01-29,all,910
2011-01-30,all,830
2011-01-31,all,708
2011-02-01,all,921
2011-02-02,all,674
2011-02-03,all,272
2011-02-04,all,485
2011-02-05,all,683
2011-02-06,all,583
2011-02-07,all,851
2011-02-08,all,999
2011-02-09,all,1310
2011-02-10,all,1552
2011-02-11,all,447
2011-02-12,all,1753
2011-02-13,all,1079
2011-02-14,all,835
2011-02-15,all,657
2011-02-16,all,1711
2011-02-17,all,1813
2011-02-18,all,863
2011-02-19,all,1021
2011-02-20,all,1571
2011-02-21,all,939
2011-02-22,all,1176
2011-02-23,all,1498
2011-02-24,all,1872
2011-02-25,all,1113
2011-02-26,all,1403
2011-02-27,all,1530
2011-02-28,all,872
2011-03-01,all,1009
2011-03-02,all,999
2011-03-03,all,1151
2011-03-04,all,578
2011-03-05,all,2599
2011-03-06,all,1419
2011-03-07,all,1372
2011-03-08,all,1382
2011-03-09,all,1592
2011-03-10,all,1659
2011-03-11,all,1044
2011-03-12,all,1514
2011-03-13,all,1340
2011-03-14,all,593
2011-03-15,all,1348
2011-03-16,all,1529
2011-03-17,all,1227
2011-03-18,all,765
2011-03-19,all,1062
2011-03-20,all,2155
2011-03-21,all,727
2011-03-22,all,1018
2011-03-23,all,1315
2011-03-24,all,1201
2011-03-25,all,1184
2011-03-26,all,1335
2011-03-27,all,2307
2011-03-28,all,684
2011-03-29,all,851
2011-03-30,all,1230
2011-03-31,all,1270
2011-04-01,all,928
2011-04-02,all,835
2011-04-03,all,1524
2011-04-04,all,709
2011-04-05,all,1144
2011-04-06,all,1032
2011-04-07,all,1412
2011-04-08,all,690
2011-04-09,all,1275
2011-04-10,all,2141
2011-04-11,all,907
2011-04-12,all,1218
2011-04-13,all,1476
2011-04-14,all,1040
2011-04-15,all,820
2011-04-16,all,1330
2011-04-17,all,1555
2011-04-18,all,784
2011-04-19,all,860
2011-04-20,all,1029
2011-04-21,all,1032
2011-04-22,all,833
2011-04-23,all,1181
2011-04-24,all,2102
2011-04-25,all,729
2011-04-26,all,979
2011-04-27,all,881
2011-04-28,all,1184
2011-04-29,all,535
2011-04-30,all,667
2011-05-01,all,2690
2011-05-02,all,623
2011-05-03,all,621
2011-05-04,all,809
2011-05-05,all,741
2011-05-06,all,706
2011-05-07,all,1157
2011-05-08,all,1390
2011-05-09,all,655
2011-05-10,all,1021
2011-05-11,all,1070
2011-05-12,all,937
2011-05-13,all,578
2011-05-14,all,816
2011-05-15,all,1339
2011-05-16,all,610
2011-05-17,all,2136
2011-05-18,all,1132
2011-05-19,all,1263
2011-05-20,all,729
2011-05-21,all,970
2011-05-22,all,1475
2011-05-23,all,659
2011-05-24,all,1027
2011-05-25,all,1238
2011-05-26,all,864
2011-05-27,all,849
2011-05-28,all,806
2011-05-29,all,1147
2011-05-30,all,544
2011-05-31,all,992
2011-06-01,all,847
2011-06-02,all,1413
2011-06-03,all,884
2011-06-04,all,1053
2011-06-05,all,920
2011-06-06,all,549
2011-06-07,all,854
2011-06-08,all,1004
2011-06-09,all,854
2011-06-10,all,723
2011-06-11,all,1158
2011-06-12,all,2353
2011-06-13,all,593
2011-06-14,all,1712
2011-06-15,all,1624
2011-06-16,all,1444
2011-06-17,all,800
2011-06-18,all,1215
2011-06-19,all,1444
2011-06-20,all,922
2011-06-21,all,1268
2011-06-22,all,2676
2011-06-23,all,1207
2011-06-24,all,1055
2011-06-25,all,1748
2011-06-26,all,2176
2011-06-27,all,786
2011-06-28,all,1513
2011-06-29,all,1048
2011-06-30,all,1367
2011-07-01,all,909
2011-07-02,all,968
2011-07-03,all,1437
2011-07-04,all,712
2011-07-05,all,1331
2011-07-06,all,1573
2011-07-07,all,1539
2011-07-08,all,586
2011-07-09,all,1794
2011-07-10,all,1838
2011-07-11,all,1013
2011-07-12,all,1393
2011-07-13,all,1186
2011-07-14,all,1189
2011-07-15,all,713
2011-07-16,all,995
2011-07-17,all,2221
2011-07-18,all,802
2011-07-19,all,1600
2011-07-20,all,1842
2011-07-21,all,1288
2011-07-22,all,1181
2011-07-23,all,1593
2011-07-24,all,1729
2011-07-25,all,1092
2011-07-26,all,1865
2011-07-27,all,1828
2011-07-28,all,1922
2011-07-29,all,1266
2011-07-30,all,1669
2011-07-31,all,2551
2011-08-01,all,477
2011-08-02,all,703
2011-08-03,all,1081
2011-08-04,all,818
2011-08-05,all,706
2011-08-06,all,393
2011-08-07,all,2602
2011-08-08,all,317
2011-08-09,all,632
2011-08-10,all,508
2011-08-11,all,845
2011-08-12,all,612
2011-08-13,all,885
2011-08-14,all,1628
2011-08-15,all,367
2011-08-16,all,788
2011-08-17,all,1057
2011-08-18,all,792
2011-08-19,all,803
2011-08-20,all,1134
2011-08-21,all,1994
2011-08-22,all,565
2011-08-23,all,579
2011-08-24,all,785
2011-08-25,all,768
2011-08-26,all,1040
2011-08-27,all,608
2011-08-28,all,1575
2011-08-29,all,230
2011-08-30,all,19
2011-08-31,all,52
2011-09-01,all,294
2011-09-02,all,574
2011-09-03,all,743
2011-09-04,all,1674
2011-09-05,all,583
2011-09-06,all,825
2011-09-07,all,1181
2011-09-08,all,1355
2011-09-09,all,972
2011-09-10,all,1415
2011-09-11,all,1560
2011-09-12,all,543
2011-09-13,all,1939
2011-09-14,all,1394
2011-09-15,all,1093
2011-09-16,all,636
2011-09-17,all,676
2011-09-18,all,1835
2011-09-19,all,791
2011-09-20,all,1351
2011-09-21,all,1685
2011-09-22,all,980
2011-09-23,all,780
2011-09-24,all,1969
2011-09-25,all,2276
2011-09-26,all,848
2011-09-27,all,988
2011-09-28,all,1274
2011-09-29,all,1566
2011-09-30,all,995
2011-10-01,all,1061
2011-10-02,all,1486
2011-10-03,all,992
2011-10-04,all,1234
2011-10-05,all,1387
2011-10-06,all,1215
2011-10-07,all,1122
2011-10-08,all,897
2011-10-09,all,2152
2011-10-10,all,946
2011-10-11,all,1341
2011-10-12,all,1279
2011-10-13,all,1675
2011-10-14,all,1075
2011-10-15,all,984
2011-10-16,all,1281
2011-10-17,all,1042
2011-10-18,all,1701
2011-10-19,all,2281
2011-10-20,all,1822
2011-10-21,all,1257
2011-10-22,all,1185
2011-10-23,all,1776
2011-10-24,all,832
2011-10-25,all,1076
2011-10-26,all,1012
2011-10-27,all,1234
2011-10-28,all,747
2011-10-29,all,1053
2011-10-30,all,1389
2011-10-31,all,562
2011-11-01,all,782
2011-11-02,all,986
2011-11-03,all,1059
2011-11-04,all,764
2011-11-05,all,457
2011-11-06,all,292
2011-11-07,all,397
2011-11-08,all,614
2011-11-09,all,1033
2011-11-10,all,1881
2011-11-11,all,1171
2011-11-12,all,1890
2011-11-13,all,1647
2011-11-14,all,795
2011-11-15,all,1177
2011-11-16,all,1462
2011-11-17,all,1745
2011-11-18,all,1100
2011-11-19,all,1360
2011-11-20,all,1732
2011-11-21,all,886
2011-11-22,all,950
2011-11-23,all,1577
2011-11-24,all,937
2011-11-25,all,753
2011-11-26,all,947
2011-11-27,all,1770
2011-11-28,all,532
2011-11-29,all,1132
2011-11-30,all,1205
2011-12-01,all,1140
2011-12-02,all,1083
2011-12-03,all,710
2011-12-04,all,2617
2011-12-05,all,622
2011-12-06,all,1057
2011-12-07,all,1216
2011-12-08,all,1412
2011-12-09,all,684
2011-12-10,all,1069
2011-12-11,all,1524
2011-12-12,all,724
2011-12-13,all,1021
2011-12-14,all,1331
2011-12-15,all,1616
2011-12-16,all,797
2011-12-17,all,913
2011-12-18,all,1707
2011-12-19,all,697
2011-12-20,all,1314
2011-12-21,all,1147
2011-12-22,all,916
2011-12-23,all,638
2011-12-24,all,826
2011-12-25,all,719
2011-12-26,all,817
2011-12-27,all,827
2011-12-28,all,989
2011-12-29,all,948
2011-12-30,all,861
2011-12-31,all,1089
2012-01-01,all,1246
2012-01-02,all,764
2012-01-03,all,750
2012-01-04,all,1019
2012-01-05,all,1417
2012-01-06,all,780
2012-01-07,all,935
2012-01-08,all,1539
2012-01-09,all,652
2012-01-10,all,1176
2012-01-11,all,1984
2012-01-12,all,1896
2012-01-13,all,1013
2012-01-14,all,1226
2012-01-15,all,1227
2012-01-16,all,1049
2012-01-17,all,1393
2012-01-18,all,2024
2012-01-19,all,2163
2012-01-20,all,654
2012-01-21,all,747
2012-01-22,all,703
2012-01-23,all,538
2012-01-24,all,484
2012-01-25,all,792
2012-01-26,all,1048
2012-01-27,all,1950
2012-01-28,all,2912
2012-01-29,all,1027
2012-01-30,all,1018
2012-01-31,all,1151
2012-02-01,all,976
2012-02-02,all,1183
2012-02-03,all,732
2012-02-04,all,704
2012-02-05,all,1178
2012-02-06,all,810
2012-02-07,all,2051
2012-02-08,all,1023
2012-02-09,all,1204
2012-02-10,all,558
2012-02-11,all,1159
2012-02-12,all,1142
2012-02-13,all,892
2012-02-14,all,1039
2012-02-15,all,1076
2012-02-16,all,1616
2012-02-17,all,917
2012-02-18,all,1436
2012-02-19,all,2098
2012-02-20,all,868
2012-02-21,all,1196
2012-02-22,all,1410
2012-02-23,all,1527
2012-02-24,all,960
2012-02-25,all,2215
2012-02-26,all,1625
2012-02-27,all,900
2012-02-28,all,1811
2012-02-29,all,1631
2012-03-01,all,1226
2012-03-02,all,1033
2012-03-03,all,1138
2012-03-04,all,2031
2012-03-05,all,655
2012-03-06,all,1333
2012-03-07,all,1559
2012-03-08,all,1283
2012-03-09,all,552
2012-03-10,all,899
2012-03-11,all,1468
2012-03-12,all,750
2012-03-13,all,1760
2012-03-14,all,1068
2012-03-15,all,1106
2012-03-16,all,564
2012-03-17,all,944
2012-03-18,all,2573
2012-03-19,all,839
2012-03-20,all,1295
2012-03-21,all,1475
2012-03-22,all,1379
2012-03-23,all,922
2012-03-24,all,1014
2012-03-25,all,1893
2012-03-26,all,982
2012-03-27,all,1203
2012-03-28,all,1586
2012-03-29,all,1125
2012-03-30,all,716
2012-03-31,all,888
2012-04-01,all,1570
2012-04-02,all,1047
2012-04-03,all,665
2012-04-04,all,1024
2012-04-05,all,1571
2012-04-06,all,674
2012-04-07,all,820
2012-04-08,all,1971
2012-04-09,all,1000
2012-04-10,all,1303
2012-04-11,all,372
2012-04-12,all,1156
2012-04-13,all,844
2012-04-14,all,1251
2012-04-15,all,2536
2012-04-16,all,901
2012-04-17,all,1357
2012-04-18,all,1032
2012-04-19,all,1096
2012-04-20,all,803
2012-04-21,all,940
2012-04-22,all,2438
2012-04-23,all,844
2012-04-24,all,1004
2012-04-25,all,1066
2012-04-26,all,879
2012-04-27,all,657
2012-04-28,all,881
2012-04-29,all,1785
2012-04-30,all,911
2012-05-01,all,2687
2012-05-02,all,1030
2012-05-03,all,1305
2012-05-04,all,836
2012-05-05,all,2450
2012-05-06,all,1348
2012-05-07,all,662
2012-05-08,all,872
2012-05-09,all,1133
2012-05-10,all,1136
2012-05-11,all,811
2012-05-12,all,1187
2012-05-13,all,2116
2012-05-14,all,942
2012-05-15,all,1409
2012-05-16,all,1001
2012-05-17,all,1291
2012-05-18,all,875
2012-05-19,all,800
2012-05-20,all,1714
2012-05-21,all,628
2012-05-22,all,959
2012-05-23,all,1214
2012-05-24,all,984
2012-05-25,all,1170
2012-05-26,all,889
2012-05-27,all,1732
2012-05-28,all,593
2012-05-29,all,960
2012-05-30,all,916
2012-05-31,all,895
2012-06-01,all,584
2012-06-02,all,537
2012-06-03,all,1185
2012-06-04,all,530
2012-06-05,all,1004
2012-06-06,all,1323
2012-06-07,all,943
2012-06-08,all,730
2012-06-09,all,1241
2012-06-10,all,1717
2012-06-11,all,689
2012-06-12,all,1124
2012-06-13,all,1772
2012-06-14,all,2304
2012-06-15,all,857
2012-06-16,all,1485
2012-06-17,all,1653
2012-06-18,all,934
2012-06-19,all,1119
2012-06-20,all,1309
2012-06-21,all,1760
2012-06-22,all,1045
2012-06-23,all,2099
2012-06-24,all,1807
2012-06-25,all,973
2012-06-26,all,1096
2012-06-27,all,1380
2012-06-28,all,1515
2012-06-29,all,909
2012-06-30,all,1121
2012-07-01,all,1679
2012-07-02,all,784
2012-07-03,all,1429
2012-07-04,all,1391
2012-07-05,all,1189
2012-07-06,all,1231
2012-07-07,all,1431
2012-07-08,all,2097
2012-07-09,all,1106
2012-07-10,all,1805
2012-07-11,all,1652
2012-07-12,all,2104
2012-07-13,all,1455
2012-07-14,all,1895
2012-07-15,all,3256
2012-07-16,all,1387
2012-07-17,all,1839
2012-07-18,all,2235
2012-07-19,all,1571
2012-07-20,all,959
2012-07-21,all,267
2012-07-22,all,1837
2012-07-23,all,256
2012-07-24,all,347
2012-07-25,all,758
2012-07-26,all,667
2012-07-27,all,624
2012-07-28,all,503
2012-07-29,all,2410
2012-07-30,all,248
2012-07-31,all,608
2012-08-01,all,630
2012-08-02,all,445
2012-08-03,all,486
2012-08-04,all,831
2012-08-05,all,2017
2012-08-06,all,281
2012-08-07,all,728
2012-08-08,all,804
2012-08-09,all,823
2012-08-10,all,532
2012-08-11,all,1222
2012-08-12,all,2217
2012-08-13,all,667
2012-08-14,all,771
2012-08-15,all,531
2012-08-16,all,582
2012-08-17,all,450
2012-08-18,all,150
2012-08-19,all,28
2012-08-20,all,42
2012-08-21,all,379
2012-08-22,all,575
2012-08-23,all,711
2012-08-24,all,802
2012-08-25,all,892
2012-08-26,all,2346
2012-08-27,all,714
2012-08-28,all,1112
2012-08-29,all,1131
2012-08-30,all,904
2012-08-31,all,1262
2012-09-01,all,821
2012-09-02,all,1852
2012-09-03,all,752
2012-09-04,all,845
2012-09-05,all,1153
2012-09-06,all,1488
2012-09-07,all,795
2012-09-08,all,2498
2012-09-09,all,1913
2012-09-10,all,887
2012-09-11,all,5543
2012-09-12,all,955
2012-09-13,all,1295
2012-09-14,all,912
2012-09-15,all,833
2012-09-16,all,1515
2012-09-17,all,371
2012-09-18,all,985
2012-09-19,all,1310
2012-09-20,all,1166
2012-09-21,all,731
2012-09-22,all,1127
2012-09-23,all,1677
2012-09-24,all,560
2012-09-25,all,977
2012-09-26,all,1344
2012-09-27,all,1380
2012-09-28,all,1163
2012-09-29,all,1110
2012-09-30,all,1268
2012-10-01,all,590
2012-10-02,all,937
2012-10-03,all,971
2012-10-04,all,1242
2012-10-05,all,529
2012-10-06,all,1237
2012-10-07,all,2362
2012-10-08,all,896
2012-10-09,all,1148
2012-10-10,all,1154
2012-10-11,all,1212
2012-10-12,all,832
2012-10-13,all,854
2012-10-14,all,1618
2012-10-15,all,802
2012-10-16,all,1367
2012-10-17,all,1288
2012-10-18,all,1420
2012-10-19,all,900
2012-10-20,all,1003
2012-10-21,all,1927
2012-10-22,all,893
2012-10-23,all,1377
2012-10-24,all,1374
2012-10-25,all,732
2012-10-26,all,78
2012-10-27,all,484
2012-10-28,all,1537
2012-10-29,all,534
2012-10-30,all,727
2012-10-31,all,1192
2012-11-01,all,777
2012-11-02,all,1105
2012-11-03,all,930
2012-11-04,all,2988
2012-11-05,all,1000
2012-11-06,all,1259
2012-11-07,all,1534
2012-11-08,all,1422
2012-11-09,all,809
2012-11-10,all,1362
2012-11-11,all,1261
2012-11-12,all,701
2012-11-13,all,869
2012-11-14,all,596
2012-11-15,all,550
2012-11-16,all,759
2012-11-17,all,886
2012-11-18,all,2455
2012-11-19,all,828
2012-11-20,all,1298
2012-11-21,all,1291
2012-11-22,all,1224
2012-11-23,all,977
2012-11-24,all,1391
2012-11-25,all,1549
2012-11-26,all,877
2012-11-27,all,1191
2012-11-28,all,1117
2012-11-29,all,1458
2012-11-30,all,957
2012-12-01,all,810
2012-12-02,all,1983
2012-12-03,all,560
2012-12-04,all,1023
2012-12-05,all,1284
2012-12-06,all,1230
2012-12-07,all,811
2012-12-08,all,888
2012-12-09,all,1846
2012-12-10,all,770
2012-12-11,all,1054
2012-12-12,all,1392
2012-12-13,all,1211
2012-12-14,all,756
2012-12-15,all,773
2012-12-16,all,2142
2012-12-17,all,832
2012-12-18,all,1294
2012-12-19,all,1400
2012-12-20,all,1158
2012-12-21,all,831
2012-12-22,all,741
2012-12-23,all,1149
2012-12-24,all,583
2012-12-25,all,686
2012-12-26,all,539
2012-12-27,all,850
2012-12-28,all,761
2012-12-29,all,1125
2012-12-30,all,1559
2012-12-31,all,575
2013-01-01,all,888
2013-01-02,all,730
2013-01-03,all,1091
2013-01-04,all,484
2013-01-05,all,833
2013-01-06,all,1853
2013-01-07,all,627
2013-01-08,all,1108
2013-01-09,all,1244
2013-01-10,all,1116
2013-01-11,all,755
2013-01-12,all,1626
2013-01-13,all,1331
2013-01-14,all,1078
2013-01-15,all,1488
2013-01-16,all,1932
2013-01-17,all,1657
2013-01-18,all,1223
2013-01-19,all,1236
2013-01-20,all,1599
2013-01-21,all,1198
2013-01-22,all,1665
2013-01-23,all,1666
2013-01-24,all,584
2013-01-25,all,730
2013-01-26,all,1387
2013-01-27,all,2599
2013-01-28,all,1007
2013-01-29,all,1100
2013-01-30,all,1683
2013-01-31,all,1302
2013-02-01,all,537
2013-02-02,all,944
2013-02-03,all,1312
2013-02-04,all,819
2013-02-05,all,1041
2013-02-06,all,1306
2013-02-07,all,1573
2013-02-08,all,838
2013-02-09,all,1056
2013-02-10,all,555
2013-02-11,all,633
2013-02-12,all,567
2013-02-13,all,898
2013-02-14,all,1277
2013-02-15,all,833
2013-02-16,all,1392
2013-02-17,all,1337
2013-02-18,all,1014
2013-02-19,all,1234
2013-02-20,all,1483
2013-02-21,all,1300
2013-02-22,all,778
2013-02-23,all,1454
2013-02-24,all,1295
2013-02-25,all,858
2013-02-26,all,1316
2013-02-27,all,1530
2013-02-28,all,1271
2013-03-01,all,670
2013-03-02,all,2361
2013-03-03,all,1777
2013-03-04,all,567
2013-03-05,all,1539
2013-03-06,all,2013
2013-03-07,all,1690
2013-03-08,all,1037
2013-03-09,all,1417
2013-03-10,all,2385
2013-03-11,all,739
2013-03-12,all,1480
2013-03-13,all,1594
2013-03-14,all,1488
2013-03-15,all,1203
2013-03-16,all,1409
2013-03-17,all,2515
2013-03-18,all,960
2013-03-19,all,1579
2013-03-20,all,1553
2013-03-21,all,1340
2013-03-22,all,742
2013-03-23,all,1126
2013-03-24,all,1975
2013-03-25,all,1006
2013-03-26,all,1217
2013-03-27,all,1167
2013-03-28,all,1161
2013-03-29,all,1006
2013-03-30,all,826
2013-03-31,all,1116
2013-04-01,all,631
2013-04-02,all,1127
2013-04-03,all,922
2013-04-04,all,1198
2013-04-05,all,986
2013-04-06,all,1387
2013-04-07,all,2262
2013-04-08,all,843
2013-04-09,all,1046
2013-04-10,all,1403
2013-04-11,all,1088
2013-04-12,all,790
2013-04-13,all,1007
2013-04-14,all,2073
2013-04-15,all,776
2013-04-16,all,1309
2013-04-17,all,925
2013-04-18,all,1289
2013-04-19,all,974
2013-04-20,all,1208
2013-04-21,all,2253
2013-04-22,all,833
