Date,Blood Type,Donations
2010-08-25,a,225
2010-08-26,a,226
2010-08-27,a,101
2010-08-28,a,132
2010-08-29,a,414
2010-08-30,a,147
2010-08-31,a,222
2010-09-01,a,130
2010-09-02,a,98
2010-09-03,a,204
2010-09-04,a,128
2010-09-05,a,437
2010-09-06,a,96
2010-09-07,a,147
2010-09-08,a,101
2010-09-09,a,41
2010-09-10,a,0
2010-09-11,a,0
2010-09-12,a,189
2010-09-13,a,109
2010-09-14,a,138
2010-09-15,a,148
2010-09-16,a,110
2010-09-17,a,121
2010-09-18,a,604
2010-09-19,a,440
2010-09-20,a,159
2010-09-21,a,206
2010-09-22,a,258
2010-09-23,a,286
2010-09-24,a,262
2010-09-25,a,215
2010-09-26,a,543
2010-09-27,a,200
2010-09-28,a,299
2010-09-29,a,273
2010-09-30,a,309
2010-10-01,a,255
2010-10-02,a,313
2010-10-03,a,368
2010-10-04,a,221
2010-10-05,a,247
2010-10-06,a,388
2010-10-07,a,241
2010-10-08,a,188
2010-10-09,a,284
2010-10-10,a,466
2010-10-11,a,216
2010-10-12,a,271
2010-10-13,a,331
2010-10-14,a,352
2010-10-15,a,207
2010-10-16,a,267
2010-10-17,a,384
2010-10-18,a,276
2010-10-19,a,350
2010-10-20,a,387
2010-10-21,a,295
2010-10-22,a,107
2010-10-23,a,215
2010-10-24,a,498
2010-10-25,a,186
2010-10-26,a,248
2010-10-27,a,349
2010-10-28,a,284
2010-10-29,a,324
2010-10-30,a,194
2010-10-31,a,403
2010-11-01,a,280
2010-11-02,a,199
2010-11-03,a,257
2010-11-04,a,195
2010-11-05,a,171
2010-11-06,a,173
2010-11-07,a,296
2010-11-08,a,223
2010-11-09,a,307
2010-11-10,a,343
2010-11-11,a,384
2010-11-12,a,158
2010-11-13,a,192
2010-11-14,a,503
2010-11-15,a,174
2010-11-16,a,148
2010-11-17,a,15
2010-11-18,a,102
2010-11-19,a,146
2010-11-20,a,250
2010-11-21,a,359
2010-11-22,a,109
2010-11-23,a,215
2010-11-24,a,238
2010-11-25,a,390
2010-11-26,a,210
2010-11-27,a,200
2010-11-28,a,423
2010-11-29,a,203
2010-11-30,a,218
2010-12-01,a,235
2010-12-02,a,300
2010-12-03,a,228
2010-12-04,a,237
2010-12-05,a,447
2010-12-06,a,162
2010-12-07,a,124
2010-12-08,a,220
2010-12-09,a,202
2010-12-10,a,167
2010-12-11,a,192
2010-12-12,a,608
2010-12-13,a,137
2010-12-14,a,280
2010-12-15,a,257
2010-12-16,a,378
2010-12-17,a,168
2010-12-18,a,234
2010-12-19,a,442
2010-12-20,a,204
2010-12-21,a,245
2010-12-22,a,268
2010-12-23,a,207
2010-12-24,a,103
2010-12-25,a,113
2010-12-26,a,298
2010-12-27,a,182
2010-12-28,a,185
2010-12-29,a,208
2010-12-30,a,212
2010-12-31,a,77
2011-01-01,a,161
2011-01-02,a,209
2011-01-03,a,119
2011-01-04,a,190
2011-01-05,a,335
2011-01-06,a,322
2011-01-07,a,211
2011-01-08,a,271
2011-01-09,a,437
2011-01-10,a,285
2011-01-11,a,398
2011-01-12,a,380
2011-01-13,a,365
2011-01-14,a,147
2011-01-15,a,200
2011-01-16,a,282
2011-01-17,a,298
2011-01-18,a,419
2011-01-19,a,405
2011-01-20,a,486
2011-01-21,a,302
2011-01-22,a,184
2011-01-23,a,291
2011-01-24,a,293
2011-01-25,a,359
2011-01-26,a,383
2011-01-27,a,438
2011-01-28,a,197
2011-01-29,a,224
2011-01-30,a,213
2011-01-31,a,184
2011-02-01,a,212
2011-02-02,a,191
2011-02-03,a,66
2011-02-04,a,118
2011-02-05,a,165
2011-02-06,a,128
2011-02-07,a,215
2011-02-08,a,251
2011-02-09,a,313
2011-02-10,a,415
2011-02-11,a,105
2011-02-12,a,454
2011-02-13,a,280
2011-02-14,a,206
2011-02-15,a,160
2011-02-16,a,443
2011-02-17,a,489
2011-02-18,a,215
2011-02-19,a,255
2011-02-20,a,387
2011-02-21,a,226
2011-02-22,a,303
2011-02-23,a,359
2011-02-24,a,449
2011-02-25,a,263
2011-02-26,a,324
2011-02-27,a,375
2011-02-28,a,220
2011-03-01,a,238
2011-03-02,a,234
2011-03-03,a,288
2011-03-04,a,130
2011-03-05,a,618
2011-03-06,a,358
2011-03-07,a,333
2011-03-08,a,344
2011-03-09,a,364
2011-03-10,a,423
2011-03-11,a,282
2011-03-12,a,345
2011-03-13,a,337
2011-03-14,a,138
2011-03-15,a,333
2011-03-16,a,401
2011-03-17,a,309
2011-03-18,a,162
2011-03-19,a,294
2011-03-20,a,560
2011-03-21,a,167
2011-03-22,a,272
2011-03-23,a,334
2011-03-24,a,285
2011-03-25,a,318
2011-03-26,a,321
2011-03-27,a,613
2011-03-28,a,188
2011-03-29,a,209
2011-03-30,a,302
2011-03-31,a,299
2011-04-01,a,224
2011-04-02,a,204
2011-04-03,a,354
2011-04-04,a,168
2011-04-05,a,275
2011-04-06,a,247
2011-04-07,a,346
2011-04-08,a,174
2011-04-09,a,307
2011-04-10,a,532
2011-04-11,a,238
2011-04-12,a,302
2011-04-13,a,380
2011-04-14,a,264
2011-04-15,a,205
2011-04-16,a,333
2011-04-17,a,385
2011-04-18,a,185
2011-04-19,a,207
2011-04-20,a,253
2011-04-21,a,262
2011-04-22,a,200
2011-04-23,a,300
2011-04-24,a,557
2011-04-25,a,187
2011-04-26,a,225
2011-04-27,a,214
2011-04-28,a,287
2011-04-29,a,123
2011-04-30,a,146
2011-05-01,a,692
2011-05-02,a,166
2011-05-03,a,163
2011-05-04,a,181
2011-05-05,a,173
2011-05-06,a,180
2011-05-07,a,308
2011-05-08,a,327
2011-05-09,a,167
2011-05-10,a,260
2011-05-11,a,277
2011-05-12,a,212
2011-05-13,a,168
2011-05-14,a,218
2011-05-15,a,358
2011-05-16,a,148
2011-05-17,a,552
2011-05-18,a,323
2011-05-19,a,305
2011-05-20,a,186
2011-05-21,a,250
2011-05-22,a,371
2011-05-23,a,163
2011-05-24,a,242
2011-05-25,a,324
2011-05-26,a,214
2011-05-27,a,222
2011-05-28,a,215
2011-05-29,a,272
2011-05-30,a,137
2011-05-31,a,264
2011-06-01,a,203
2011-06-02,a,344
2011-06-03,a,222
2011-06-04,a,276
2011-06-05,a,258
2011-06-06,a,149
2011-06-07,a,200
2011-06-08,a,252
2011-06-09,a,212
2011-06-10,a,170
2011-06-11,a,311
2011-06-12,a,595
2011-06-13,a,177
2011-06-14,a,409
2011-06-15,a,359
2011-06-16,a,375
2011-06-17,a,201
2011-06-18,a,293
2011-06-19,a,380
2011-06-20,a,277
2011-06-21,a,289
2011-06-22,a,682
2011-06-23,a,315
2011-06-24,a,256
2011-06-25,a,413
2011-06-26,a,510
2011-06-27,a,184
2011-06-28,a,397
2011-06-29,a,236
2011-06-30,a,332
2011-07-01,a,223
2011-07-02,a,225
2011-07-03,a,348
2011-07-04,a,177
2011-07-05,a,314
2011-07-06,a,389
2011-07-07,a,368
2011-07-08,a,155
2011-07-09,a,420
2011-07-10,a,478
2011-07-11,a,271
2011-07-12,a,361
2011-07-13,a,292
2011-07-14,a,307
2011-07-15,a,167
2011-07-16,a,239
2011-07-17,a,594
2011-07-18,a,172
2011-07-19,a,371
2011-07-20,a,463
2011-07-21,a,315
2011-07-22,a,296
2011-07-23,a,395
2011-07-24,a,446
2011-07-25,a,248
2011-07-26,a,441
2011-07-27,a,430
2011-07-28,a,483
2011-07-29,a,311
2011-07-30,a,392
2011-07-31,a,665
2011-08-01,a,128
2011-08-02,a,170
2011-08-03,a,288
2011-08-04,a,197
2011-08-05,a,195
2011-08-06,a,97
2011-08-07,a,666
2011-08-08,a,92
2011-08-09,a,151
2011-08-10,a,123
2011-08-11,a,205
2011-08-12,a,140
2011-08-13,a,211
2011-08-14,a,392
2011-08-15,a,73
2011-08-16,a,207
2011-08-17,a,261
2011-08-18,a,219
2011-08-19,a,223
2011-08-20,a,272
2011-08-21,a,541
2011-08-22,a,142
2011-08-23,a,144
2011-08-24,a,217
2011-08-25,a,202
2011-08-26,a,261
2011-08-27,a,149
2011-08-28,a,422
2011-08-29,a,63
2011-08-30,a,4
2011-08-31,a,12
2011-09-01,a,65
2011-09-02,a,143
2011-09-03,a,178
2011-09-04,a,389
2011-09-05,a,155
2011-09-06,a,212
2011-09-07,a,291
2011-09-08,a,346
2011-09-09,a,241
2011-09-10,a,331
2011-09-11,a,360
2011-09-12,a,149
2011-09-13,a,463
2011-09-14,a,316
2011-09-15,a,277
2011-09-16,a,157
2011-09-17,a,184
2011-09-18,a,462
2011-09-19,a,192
2011-09-20,a,316
2011-09-21,a,440
2011-09-22,a,231
2011-09-23,a,185
2011-09-24,a,475
2011-09-25,a,605
2011-09-26,a,195
2011-09-27,a,252
2011-09-28,a,350
2011-09-29,a,384
2011-09-30,a,237
2011-10-01,a,264
2011-10-02,a,426
2011-10-03,a,246
2011-10-04,a,312
2011-10-05,a,357
2011-10-06,a,306
2011-10-07,a,270
2011-10-08,a,243
2011-10-09,a,580
2011-10-10,a,221
2011-10-11,a,332
2011-10-12,a,310
2011-10-13,a,422
2011-10-14,a,279
2011-10-15,a,243
2011-10-16,a,310
2011-10-17,a,262
2011-10-18,a,413
2011-10-19,a,577
2011-10-20,a,476
2011-10-21,a,295
2011-10-22,a,288
2011-10-23,a,459
2011-10-24,a,192
2011-10-25,a,282
2011-10-26,a,246
2011-10-27,a,296
2011-10-28,a,191
2011-10-29,a,248
2011-10-30,a,346
2011-10-31,a,126
2011-11-01,a,175
2011-11-02,a,229
2011-11-03,a,257
2011-11-04,a,162
2011-11-05,a,117
2011-11-06,a,64
2011-11-07,a,79
2011-11-08,a,153
2011-11-09,a,271
2011-11-10,a,482
2011-11-11,a,291
2011-11-12,a,453
2011-11-13,a,390
2011-11-14,a,194
2011-11-15,a,267
2011-11-16,a,383
2011-11-17,a,415
2011-11-18,a,281
2011-11-19,a,370
2011-11-20,a,464
2011-11-21,a,231
2011-11-22,a,244
2011-11-23,a,404
2011-11-24,a,247
2011-11-25,a,178
2011-11-26,a,233
2011-11-27,a,427
2011-11-28,a,136
2011-11-29,a,296
2011-11-30,a,321
2011-12-01,a,277
2011-12-02,a,271
2011-12-03,a,172
2011-12-04,a,658
2011-12-05,a,139
2011-12-06,a,256
2011-12-07,a,299
2011-12-08,a,342
2011-12-09,a,156
2011-12-10,a,224
2011-12-11,a,397
2011-12-12,a,210
2011-12-13,a,274
2011-12-14,a,336
2011-12-15,a,385
2011-12-16,a,190
2011-12-17,a,229
2011-12-18,a,465
2011-12-19,a,185
2011-12-20,a,304
2011-12-21,a,292
2011-12-22,a,218
2011-12-23,a,160
2011-12-24,a,206
2011-12-25,a,188
2011-12-26,a,205
2011-12-27,a,222
2011-12-28,a,258
2011-12-29,a,212
2011-12-30,a,226
2011-12-31,a,279
2012-01-01,a,313
2012-01-02,a,197
2012-01-03,a,182
2012-01-04,a,263
2012-01-05,a,364
2012-01-06,a,215
2012-01-07,a,244
2012-01-08,a,392
2012-01-09,a,176
2012-01-10,a,296
2012-01-11,a,506
2012-01-12,a,488
2012-01-13,a,272
2012-01-14,a,288
2012-01-15,a,351
2012-01-16,a,282
2012-01-17,a,387
2012-01-18,a,505
2012-01-19,a,569
2012-01-20,a,169
2012-01-21,a,187
2012-01-22,a,178
2012-01-23,a,129
2012-01-24,a,139
2012-01-25,a,200
2012-01-26,a,259
2012-01-27,a,476
2012-01-28,a,726
2012-01-29,a,254
2012-01-30,a,235
2012-01-31,a,277
2012-02-01,a,207
2012-02-02,a,307
2012-02-03,a,166
2012-02-04,a,183
2012-02-05,a,311
2012-02-06,a,189
2012-02-07,a,465
2012-02-08,a,240
2012-02-09,a,301
2012-02-10,a,168
2012-02-11,a,289
2012-02-12,a,270
2012-02-13,a,210
2012-02-14,a,242
2012-02-15,a,249
2012-02-16,a,441
2012-02-17,a,234
2012-02-18,a,433
2012-02-19,a,529
2012-02-20,a,224
2012-02-21,a,283
2012-02-22,a,374
2012-02-23,a,379
2012-02-24,a,262
2012-02-25,a,573
2012-02-26,a,394
2012-02-27,a,225
2012-02-28,a,457
2012-02-29,a,427
2012-03-01,a,305
2012-03-02,a,278
2012-03-03,a,267
2012-03-04,a,555
2012-03-05,a,169
2012-03-06,a,303
2012-03-07,a,409
2012-03-08,a,333
2012-03-09,a,153
2012-03-10,a,204
2012-03-11,a,324
2012-03-12,a,201
2012-03-13,a,447
2012-03-14,a,262
2012-03-15,a,280
2012-03-16,a,139
2012-03-17,a,237
2012-03-18,a,693
2012-03-19,a,203
2012-03-20,a,304
2012-03-21,a,365
2012-03-22,a,354
2012-03-23,a,218
2012-03-24,a,253
2012-03-25,a,494
2012-03-26,a,232
2012-03-27,a,288
2012-03-28,a,404
2012-03-29,a,264
2012-03-30,a,177
2012-03-31,a,196
2012-04-01,a,419
2012-04-02,a,249
2012-04-03,a,164
2012-04-04,a,253
2012-04-05,a,407
2012-04-06,a,191
2012-04-07,a,184
2012-04-08,a,498
2012-04-09,a,269
2012-04-10,a,370
2012-04-11,a,78
2012-04-12,a,290
2012-04-13,a,213
2012-04-14,a,297
2012-04-15,a,673
2012-04-16,a,238
2012-04-17,a,337
2012-04-18,a,267
2012-04-19,a,276
2012-04-20,a,198
2012-04-21,a,232
2012-04-22,a,606
2012-04-23,a,202
2012-04-24,a,257
2012-04-25,a,252
2012-04-26,a,207
2012-04-27,a,167
2012-04-28,a,212
2012-04-29,a,470
2012-04-30,a,249
2012-05-01,a,702
2012-05-02,a,265
2012-05-03,a,322
2012-05-04,a,231
2012-05-05,a,648
2012-05-06,a,327
2012-05-07,a,164
2012-05-08,a,217
2012-05-09,a,285
2012-05-10,a,262
2012-05-11,a,188
2012-05-12,a,310
2012-05-13,a,554
2012-05-14,a,225
2012-05-15,a,348
2012-05-16,a,251
2012-05-17,a,341
2012-05-18,a,233
2012-05-19,a,205
2012-05-20,a,425
2012-05-21,a,164
2012-05-22,a,230
2012-05-23,a,304
2012-05-24,a,256
2012-05-25,a,288
2012-05-26,a,222
2012-05-27,a,447
2012-05-28,a,158
2012-05-29,a,254
2012-05-30,a,215
2012-05-31,a,242
2012-06-01,a,154
2012-06-02,a,130
2012-06-03,a,302
2012-06-04,a,113
2012-06-05,a,254
2012-06-06,a,309
2012-06-07,a,226
2012-06-08,a,176
2012-06-09,a,284
2012-06-10,a,441
2012-06-11,a,170
2012-06-12,a,281
2012-06-13,a,424
2012-06-14,a,584
2012-06-15,a,207
2012-06-16,a,349
2012-06-17,a,412
2012-06-18,a,226
2012-06-19,a,262
2012-06-20,a,333
2012-06-21,a,457
2012-06-22,a,238
2012-06-23,a,522
2012-06-24,a,492
2012-06-25,a,229
2012-06-26,a,274
2012-06-27,a,347
2012-06-28,a,416
2012-06-29,a,235
2012-06-30,a,266
2012-07-01,a,427
2012-07-02,a,183
2012-07-03,a,364
2012-07-04,a,361
2012-07-05,a,307
2012-07-06,a,298
2012-07-07,a,333
2012-07-08,a,499
2012-07-09,a,270
2012-07-10,a,445
2012-07-11,a,376
2012-07-12,a,500
2012-07-13,a,332
2012-07-14,a,480
2012-07-15,a,841
2012-07-16,a,353
2012-07-17,a,474
2012-07-18,a,543
2012-07-19,a,375
2012-07-20,a,261
2012-07-21,a,71
2012-07-22,a,466
2012-07-23,a,72
2012-07-24,a,86
2012-07-25,a,193
2012-07-26,a,165
2012-07-27,a,148
2012-07-28,a,141
2012-07-29,a,648
2012-07-30,a,54
2012-07-31,a,134
2012-08-01,a,166
2012-08-02,a,97
2012-08-03,a,125
2012-08-04,a,199
2012-08-05,a,519
2012-08-06,a,73
2012-08-07,a,174
2012-08-08,a,178
2012-08-09,a,198
2012-08-10,a,138
2012-08-11,a,293
2012-08-12,a,570
2012-08-13,a,168
2012-08-14,a,177
2012-08-15,a,148
2012-08-16,a,143
2012-08-17,a,117
2012-08-18,a,29
2012-08-19,a,6
2012-08-20,a,14
2012-08-21,a,95
2012-08-22,a,159
2012-08-23,a,166
2012-08-24,a,191
2012-08-25,a,214
2012-08-26,a,587
2012-08-27,a,188
2012-08-28,a,278
2012-08-29,a,275
2012-08-30,a,226
2012-08-31,a,337
2012-09-01,a,194
2012-09-02,a,469
2012-09-03,a,195
2012-09-04,a,211
2012-09-05,a,307
2012-09-06,a,389
2012-09-07,a,225
2012-09-08,a,591
2012-09-09,a,466
2012-09-10,a,207
2012-09-11,a,1363
2012-09-12,a,235
2012-09-13,a,309
2012-09-14,a,235
2012-09-15,a,229
2012-09-16,a,365
2012-09-17,a,98
2012-09-18,a,248
2012-09-19,a,335
2012-09-20,a,261
2012-09-21,a,175
2012-09-22,a,281
2012-09-23,a,434
2012-09-24,a,128
2012-09-25,a,245
2012-09-26,a,295
2012-09-27,a,354
2012-09-28,a,298
2012-09-29,a,285
2012-09-30,a,311
2012-10-01,a,157
2012-10-02,a,226
2012-10-03,a,261
2012-10-04,a,301
2012-10-05,a,146
2012-10-06,a,320
2012-10-07,a,635
2012-10-08,a,225
2012-10-09,a,247
2012-10-10,a,275
2012-10-11,a,302
2012-10-12,a,190
2012-10-13,a,212
2012-10-14,a,415
2012-10-15,a,197
2012-10-16,a,287
2012-10-17,a,340
2012-10-18,a,347
2012-10-19,a,251
2012-10-20,a,260
2012-10-21,a,482
2012-10-22,a,213
2012-10-23,a,364
2012-10-24,a,356
2012-10-25,a,194
2012-10-26,a,18
2012-10-27,a,114
2012-10-28,a,370
2012-10-29,a,126
2012-10-30,a,181
2012-10-31,a,279
2012-11-01,a,191
2012-11-02,a,268
2012-11-03,a,249
2012-11-04,a,746
2012-11-05,a,238
2012-11-06,a,311
2012-11-07,a,377
2012-11-08,a,338
2012-11-09,a,189
2012-11-10,a,361
2012-11-11,a,366
2012-11-12,a,161
2012-11-13,a,207
2012-11-14,a,132
2012-11-15,a,158
2012-11-16,a,174
2012-11-17,a,214
2012-11-18,a,673
2012-11-19,a,202
2012-11-20,a,319
2012-11-21,a,335
2012-11-22,a,285
2012-11-23,a,223
2012-11-24,a,342
2012-11-25,a,386
2012-11-26,a,225
2012-11-27,a,277
2012-11-28,a,317
2012-11-29,a,362
2012-11-30,a,239
2012-12-01,a,201
2012-12-02,a,482
2012-12-03,a,130
2012-12-04,a,287
2012-12-05,a,323
2012-12-06,a,310
2012-12-07,a,204
2012-12-08,a,218
2012-12-09,a,475
2012-12-10,a,220
2012-12-11,a,254
2012-12-12,a,389
2012-12-13,a,299
2012-12-14,a,173
2012-12-15,a,181
2012-12-16,a,566
2012-12-17,a,213
2012-12-18,a,342
2012-12-19,a,350
2012-12-20,a,268
2012-12-21,a,204
2012-12-22,a,196
2012-12-23,a,300
2012-12-24,a,150
2012-12-25,a,175
2012-12-26,a,142
2012-12-27,a,222
2012-12-28,a,198
2012-12-29,a,275
2012-12-30,a,381
2012-12-31,a,150
2013-01-01,a,190
2013-01-02,a,177
2013-01-03,a,287
2013-01-04,a,122
2013-01-05,a,221
2013-01-06,a,492
2013-01-07,a,171
2013-01-08,a,269
2013-01-09,a,317
2013-01-10,a,270
2013-01-11,a,204
2013-01-12,a,405
2013-01-13,a,319
2013-01-14,a,267
2013-01-15,a,388
2013-01-16,a,478
2013-01-17,a,416
2013-01-18,a,335
2013-01-19,a,303
2013-01-20,a,398
2013-01-21,a,287
2013-01-22,a,420
2013-01-23,a,402
2013-01-24,a,153
2013-01-25,a,192
2013-01-26,a,333
2013-01-27,a,596
2013-01-28,a,232
2013-01-29,a,274
2013-01-30,a,429
2013-01-31,a,311
2013-02-01,a,134
2013-02-02,a,238
2013-02-03,a,313
2013-02-04,a,225
2013-02-05,a,235
2013-02-06,a,316
2013-02-07,a,407
2013-02-08,a,186
2013-02-09,a,270
2013-02-10,a,128
2013-02-11,a,136
2013-02-12,a,138
2013-02-13,a,207
2013-02-14,a,324
2013-02-15,a,216
2013-02-16,a,374
2013-02-17,a,344
2013-02-18,a,244
2013-02-19,a,303
2013-02-20,a,362
2013-02-21,a,341
2013-02-22,a,188
2013-02-23,a,375
2013-02-24,a,340
2013-02-25,a,220
2013-02-26,a,331
2013-02-27,a,394
2013-02-28,a,299
2013-03-01,a,167
2013-03-02,a,602
2013-03-03,a,445
2013-03-04,a,147
2013-03-05,a,408
2013-03-06,a,504
2013-03-07,a,437
2013-03-08,a,242
2013-03-09,a,377
2013-03-10,a,616
2013-03-11,a,189
2013-03-12,a,366
2013-03-13,a,375
2013-03-14,a,401
2013-03-15,a,308
2013-03-16,a,335
2013-03-17,a,666
2013-03-18,a,216
2013-03-19,a,392
2013-03-20,a,372
2013-03-21,a,333
2013-03-22,a,180
2013-03-23,a,321
2013-03-24,a,505
2013-03-25,a,252
2013-03-26,a,314
2013-03-27,a,281
2013-03-28,a,297
2013-03-29,a,260
2013-03-30,a,203
2013-03-31,a,273
2013-04-01,a,150
2013-04-02,a,315
2013-04-03,a,234
2013-04-04,a,312
2013-04-05,a,258
2013-04-06,a,362
2013-04-07,a,583
2013-04-08,a,216
2013-04-09,a,240
2013-04-10,a,352
2013-04-11,a,283
2013-04-12,a,205
2013-04-13,a,240
2013-04-14,a,544
2013-04-15,a,193
2013-04-16,a,311
2013-04-17,a,237
2013-04-18,a,312
2013-04-19,a,238
2013-04-20,a,278
2013-04-21,a,574
2013-04-22,a,232
2013-04-23,a,213
2013-04-24,a,287
2013-04-25,a,284
2013-04-26,a,219
2013-04-27,a,240
2013-04-28,a,568
2013-04-29,a,228
2013-04-30,a,219
2013-05-01,a,873
2013-05-02,a,133
2013-05-03,a,138
2013-05-04,a,123
2013-05-05,a,0
2013-05-06,a,65
2013-05-07,a,172
2013-05-08,a,347
2013-05-09,a,365
2013-05-10,a,136
2013-05-11,a,295
2013-05-12,a,499
2013-05-13,a,213
2013-05-14,a,413
2013-05-15,a,377
2013-05-16,a,285
2013-05-17,a,225
2013-05-18,a,370
2013-05-19,a,561
2013-05-20,a,170
2013-05-21,a,364
2013-05-22,a,323
2013-05-23,a,253
2013-05-24,a,574
2013-05-25,a,423
2013-05-26,a,419
2013-05-27,a,245
2013-05-28,a,245
2013-05-29,a,299
2013-05-30,a,391
2013-05-31,a,317
2013-06-01,a,243
2013-06-02,a,365
2013-06-03,a,161
2013-06-04,a,283
2013-06-05,a,353
2013-06-06,a,266
2013-06-07,a,162
2013-06-08,a,159
2013-06-09,a,435
2013-06-10,a,228
2013-06-11,a,309
2013-06-12,a,350
2013-06-13,a,312
2013-06-14,a,308
2013-06-15,a,361
2013-06-16,a,523
2013-06-17,a,331
2013-06-18,a,352
2013-06-19,a,376
2013-06-20,a,426
2013-06-21,a,257
2013-06-22,a,402
2013-06-23,a,524
