Year,Hospital,State,Age Group,New Donors
2010,Hospital Tengku Ampuan Rahimah,Selangor,17-24,4349
2010,Hospital Tengku Ampuan Rahimah,Selangor,25-29,2200
2010,Hospital Tengku Ampuan Rahimah,Selangor,30-34,1690
2010,Hospital Tengku Ampuan Rahimah,Selangor,35-39,1277
2010,Hospital Tengku Ampuan Rahimah,Selangor,40-44,1122
2010,Hospital Tengku Ampuan Rahimah,Selangor,45-49,696
2010,Hospital Tengku Ampuan Rahimah,Selangor,50-54,356
2010,Hospital Tengku Ampuan Rahimah,Selangor,55-59,138
2010,Hospital Tengku Ampuan Rahimah,Selangor,60-64,32
2010,Hospital Tengku Ampuan Rahimah,Selangor,other,64
2010,Hospital Tuanku Jaafar,Negeri Sembilan,17-24,3637
2010,Hospital Tuanku Jaafar,Negeri Sembilan,25-29,838
2010,Hospital Tuanku Jaafar,Negeri Sembilan,30-34,601
2010,Hospital Tuanku Jaafar,Negeri Sembilan,35-39,483
2010,Hospital Tuanku Jaafar,Negeri Sembilan,40-44,283
2010,Hospital Tuanku Jaafar,Negeri Sembilan,45-49,189
2010,Hospital Tuanku Jaafar,Negeri Sembilan,50-54,104
2010,Hospital Tuanku Jaafar,Negeri Sembilan,55-59,45
2010,Hospital Tuanku Jaafar,Negeri Sembilan,60-64,2
2011,Hospital Melaka,Melaka,17-24,6511
2011,Hospital Melaka,Melaka,25-29,1453
2011,Hospital Melaka,Melaka,30-34,968
2011,Hospital Melaka,Melaka,35-39,669
2011,Hospital Melaka,Melaka,40-44,588
2011,Hospital Melaka,Melaka,45-49,434
2011,Hospital Melaka,Melaka,50-54,261
2011,Hospital Melaka,Melaka,55-59,143
2011,Hospital Melaka,Melaka,60-64,14
2011,Hospital Melaka,Melaka,other,42
2011,Hospital Queen Elizabeth Ii,Sabah,17-24,4388
2011,Hospital Queen Elizabeth Ii,Sabah,25-29,1430
2011,Hospital Queen Elizabeth Ii,Sabah,30-34,899
2011,Hospital Queen Elizabeth Ii,Sabah,35-39,563
2011,Hospital Queen Elizabeth Ii,Sabah,40-44,491
2011,Hospital Queen Elizabeth Ii,Sabah,45-49,382
2011,Hospital Queen Elizabeth Ii,Sabah,50-54,213
2011,Hospital Queen Elizabeth Ii,Sabah,55-59,96
2011,Hospital Queen Elizabeth Ii,Sabah,60-64,6
2011,Hospital Queen Elizabeth Ii,Sabah,other,47
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,17-24,4108
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,25-29,541
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,30-34,313
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,35-39,294
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,40-44,242
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,45-49,168
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,50-54,103
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,55-59,56
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,60-64,4
2011,Hospital Raja Perempuan Zainab Ii,Kelantan,other,26
2011,Hospital Raja Permaisuri Bainun,Perak,17-24,7424
2011,Hospital Raja Permaisuri Bainun,Perak,25-29,1296
2011,Hospital Raja Permaisuri Bainun,Perak,30-34,936
2011,Hospital Raja Permaisuri Bainun,Perak,35-39,747
2011,Hospital Raja Permaisuri Bainun,Perak,40-44,616
2011,Hospital Raja Permaisuri Bainun,Perak,45-49,423
2011,Hospital Raja Permaisuri Bainun,Perak,50-54,299
2011,Hospital Raja Permaisuri Bainun,Perak,55-59,96
2011,Hospital Raja Permaisuri Bainun,Perak,60-64,9
2011,Hospital Raja Permaisuri Bainun,Perak,other,19
2011,Hospital Seri Manjung,Perak,17-24,1419
2011,Hospital Seri Manjung,Perak,25-29,261
2011,Hospital Seri Manjung,Perak,30-34,149
2011,Hospital Seri Manjung,Perak,35-39,144
2011,Hospital Seri Manjung,Perak,40-44,131
2011,Hospital Seri Manjung,Perak,45-49,83
2011,Hospital Seri Manjung,Perak,50-54,37
2011,Hospital Seri Manjung,Perak,55-59,8
2011,Hospital Seri Manjung,Perak,other,5
2011,Hospital Sultan Haji Ahmad Shah,Pahang,17-24,1054
2011,Hospital Sultan Haji Ahmad Shah,Pahang,25-29,418
2011,Hospital Sultan Haji Ahmad Shah,Pahang,30-34,347
2011,Hospital Sultan Haji Ahmad Shah,Pahang,35-39,311
2011,Hospital Sultan Haji Ahmad Shah,Pahang,40-44,281
2011,Hospital Sultan Haji Ahmad Shah,Pahang,45-49,272
2011,Hospital Sultan Haji Ahmad Shah,Pahang,50-54,200
2011,Hospital Sultan Haji Ahmad Shah,Pahang,55-59,91
2011,Hospital Sultan Haji Ahmad Shah,Pahang,60-64,7
2011,Hospital Sultan Haji Ahmad Shah,Pahang,other,3
2011,Hospital Sultanah Aminah,Johor,17-24,3558
2011,Hospital Sultanah Aminah,Johor,25-29,2257
2011,Hospital Sultanah Aminah,Johor,30-34,1803
2011,Hospital Sultanah Aminah,Johor,35-39,1484
2011,Hospital Sultanah Aminah,Johor,40-44,1109
2011,Hospital Sultanah Aminah,Johor,45-49,770
2011,Hospital Sultanah Aminah,Johor,50-54,396
2011,Hospital Sultanah Aminah,Johor,55-59,131
2011,Hospital Sultanah Aminah,Johor,60-64,11
2011,Hospital Sultanah Aminah,Johor,other,98
2011,Hospital Sultanah Bahiyah,Kedah,17-24,12906
2011,Hospital Sultanah Bahiyah,Kedah,25-29,2385
2011,Hospital Sultanah Bahiyah,Kedah,30-34,1569
2011,Hospital Sultanah Bahiyah,Kedah,35-39,1370
2011,Hospital Sultanah Bahiyah,Kedah,40-44,1120
2011,Hospital Sultanah Bahiyah,Kedah,45-49,780
2011,Hospital Sultanah Bahiyah,Kedah,50-54,517
2011,Hospital Sultanah Bahiyah,Kedah,55-59,182
2011,Hospital Sultanah Bahiyah,Kedah,60-64,16
2011,Hospital Sultanah Bahiyah,Kedah,other,20
2011,Hospital Sultanah Nora Ismail,Johor,17-24,1124
2011,Hospital Sultanah Nora Ismail,Johor,25-29,361
2011,Hospital Sultanah Nora Ismail,Johor,30-34,254
2011,Hospital Sultanah Nora Ismail,Johor,35-39,186
2011,Hospital Sultanah Nora Ismail,Johor,40-44,161
2011,Hospital Sultanah Nora Ismail,Johor,45-49,125
2011,Hospital Sultanah Nora Ismail,Johor,50-54,59
2011,Hospital Sultanah Nora Ismail,Johor,55-59,25
2011,Hospital Sultanah Nora Ismail,Johor,60-64,1
2011,Hospital Sultanah Nora Ismail,Johor,other,1
2011,Hospital Sultanah Nur Zahirah,Terengganu,17-24,4986
2011,Hospital Sultanah Nur Zahirah,Terengganu,25-29,601
2011,Hospital Sultanah Nur Zahirah,Terengganu,30-34,326
2011,Hospital Sultanah Nur Zahirah,Terengganu,35-39,199
2011,Hospital Sultanah Nur Zahirah,Terengganu,40-44,169
2011,Hospital Sultanah Nur Zahirah,Terengganu,45-49,133
2011,Hospital Sultanah Nur Zahirah,Terengganu,50-54,83
2011,Hospital Sultanah Nur Zahirah,Terengganu,55-59,20
2011,Hospital Sultanah Nur Zahirah,Terengganu,60-64,6
2011,Hospital Sultanah Nur Zahirah,Terengganu,other,4
2011,Hospital Taiping,Perak,17-24,3
2011,Hospital Taiping,Perak,25-29,1
2011,Hospital Taiping,Perak,30-34,1
2011,Hospital Taiping,Perak,35-39,1
2011,Hospital Taiping,Perak,55-59,1
2011,Hospital Tengku Ampuan Afzan,Pahang,17-24,1212
2011,Hospital Tengku Ampuan Afzan,Pahang,25-29,180
2011,Hospital Tengku Ampuan Afzan,Pahang,30-34,140
2011,Hospital Tengku Ampuan Afzan,Pahang,35-39,97
2011,Hospital Tengku Ampuan Afzan,Pahang,40-44,71
2011,Hospital Tengku Ampuan Afzan,Pahang,45-49,68
2011,Hospital Tengku Ampuan Afzan,Pahang,50-54,24
2011,Hospital Tengku Ampuan Afzan,Pahang,55-59,14
2011,Hospital Tengku Ampuan Afzan,Pahang,60-64,2
2011,Hospital Tengku Ampuan Afzan,Pahang,other,3
2011,Hospital Tengku Ampuan Rahimah,Selangor,17-24,4987
2011,Hospital Tengku Ampuan Rahimah,Selangor,25-29,1938
2011,Hospital Tengku Ampuan Rahimah,Selangor,30-34,1448
2011,Hospital Tengku Ampuan Rahimah,Selangor,35-39,1227
2011,Hospital Tengku Ampuan Rahimah,Selangor,40-44,972
2011,Hospital Tengku Ampuan Rahimah,Selangor,45-49,633
2011,Hospital Tengku Ampuan Rahimah,Selangor,50-54,362
2011,Hospital Tengku Ampuan Rahimah,Selangor,55-59,136
2011,Hospital Tengku Ampuan Rahimah,Selangor,60-64,10
2011,Hospital Tengku Ampuan Rahimah,Selangor,other,17
2011,Hospital Tuanku Jaafar,Negeri Sembilan,17-24,3457
2011,Hospital Tuanku Jaafar,Negeri Sembilan,25-29,811
2011,Hospital Tuanku Jaafar,Negeri Sembilan,30-34,590
2011,Hospital Tuanku Jaafar,Negeri Sembilan,35-39,435
2011,Hospital Tuanku Jaafar,Negeri Sembilan,40-44,326
2011,Hospital Tuanku Jaafar,Negeri Sembilan,45-49,189
2011,Hospital Tuanku Jaafar,Negeri Sembilan,50-54,95
2011,Hospital Tuanku Jaafar,Negeri Sembilan,55-59,50
2011,Hospital Tuanku Jaafar,Negeri Sembilan,60-64,2
2011,Hospital Tuanku Jaafar,Negeri Sembilan,other,1
2012,Hospital Melaka,Melaka,17-24,6156
2012,Hospital Melaka,Melaka,25-29,1213
2012,Hospital Melaka,Melaka,30-34,1002
2012,Hospital Melaka,Melaka,35-39,750
2012,Hospital Melaka,Melaka,40-44,600
2012,Hospital Melaka,Melaka,45-49,451
2012,Hospital Melaka,Melaka,50-54,314
2012,Hospital Melaka,Melaka,55-59,131
2012,Hospital Melaka,Melaka,60-64,10
2012,Hospital Melaka,Melaka,other,27
2012,Hospital Queen Elizabeth Ii,Sabah,17-24,4206
2012,Hospital Queen Elizabeth Ii,Sabah,25-29,1567
2012,Hospital Queen Elizabeth Ii,Sabah,30-34,975
2012,Hospital Queen Elizabeth Ii,Sabah,35-39,684
2012,Hospital Queen Elizabeth Ii,Sabah,40-44,473
2012,Hospital Queen Elizabeth Ii,Sabah,45-49,342
2012,Hospital Queen Elizabeth Ii,Sabah,50-54,219
2012,Hospital Queen Elizabeth Ii,Sabah,55-59,81
2012,Hospital Queen Elizabeth Ii,Sabah,60-64,12
2012,Hospital Queen Elizabeth Ii,Sabah,other,48
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,17-24,2466
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,25-29,543
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,30-34,333
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,35-39,263
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,40-44,228
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,45-49,174
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,50-54,126
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,55-59,56
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,60-64,4
2012,Hospital Raja Perempuan Zainab Ii,Kelantan,other,11
2012,Hospital Raja Permaisuri Bainun,Perak,17-24,7151
2012,Hospital Raja Permaisuri Bainun,Perak,25-29,1193
2012,Hospital Raja Permaisuri Bainun,Perak,30-34,934
2012,Hospital Raja Permaisuri Bainun,Perak,35-39,720
2012,Hospital Raja Permaisuri Bainun,Perak,40-44,613
2012,Hospital Raja Permaisuri Bainun,Perak,45-49,420
2012,Hospital Raja Permaisuri Bainun,Perak,50-54,286
2012,Hospital Raja Permaisuri Bainun,Perak,55-59,113
2012,Hospital Raja Permaisuri Bainun,Perak,60-64,5
2012,Hospital Raja Permaisuri Bainun,Perak,other,43
2012,Hospital Seri Manjung,Perak,17-24,1651
2012,Hospital Seri Manjung,Perak,25-29,234
2012,Hospital Seri Manjung,Perak,30-34,156
2012,Hospital Seri Manjung,Perak,35-39,125
2012,Hospital Seri Manjung,Perak,40-44,98
2012,Hospital Seri Manjung,Perak,45-49,91
2012,Hospital Seri Manjung,Perak,50-54,29
2012,Hospital Seri Manjung,Perak,55-59,8
2012,Hospital Seri Manjung,Perak,60-64,3
2012,Hospital Sultan Haji Ahmad Shah,Pahang,17-24,2810
2012,Hospital Sultan Haji Ahmad Shah,Pahang,25-29,639
2012,Hospital Sultan Haji Ahmad Shah,Pahang,30-34,548
2012,Hospital Sultan Haji Ahmad Shah,Pahang,35-39,428
2012,Hospital Sultan Haji Ahmad Shah,Pahang,40-44,414
2012,Hospital Sultan Haji Ahmad Shah,Pahang,45-49,332
2012,Hospital Sultan Haji Ahmad Shah,Pahang,50-54,241
2012,Hospital Sultan Haji Ahmad Shah,Pahang,55-59,110
2012,Hospital Sultan Haji Ahmad Shah,Pahang,60-64,6
2012,Hospital Sultan Haji Ahmad Shah,Pahang,other,2
2012,Hospital Sultanah Aminah,Johor,17-24,3546
2012,Hospital Sultanah Aminah,Johor,25-29,2023
2012,Hospital Sultanah Aminah,Johor,30-34,1593
2012,Hospital Sultanah Aminah,Johor,35-39,1250
2012,Hospital Sultanah Aminah,Johor,40-44,992
2012,Hospital Sultanah Aminah,Johor,45-49,584
2012,Hospital Sultanah Aminah,Johor,50-54,351
2012,Hospital Sultanah Aminah,Johor,55-59,144
2012,Hospital Sultanah Aminah,Johor,60-64,23
2012,Hospital Sultanah Aminah,Johor,other,84
2012,Hospital Sultanah Bahiyah,Kedah,17-24,11374
2012,Hospital Sultanah Bahiyah,Kedah,25-29,2268
2012,Hospital Sultanah Bahiyah,Kedah,30-34,1738
2012,Hospital Sultanah Bahiyah,Kedah,35-39,1422
2012,Hospital Sultanah Bahiyah,Kedah,40-44,1190
2012,Hospital Sultanah Bahiyah,Kedah,45-49,791
2012,Hospital Sultanah Bahiyah,Kedah,50-54,504
2012,Hospital Sultanah Bahiyah,Kedah,55-59,197
2012,Hospital Sultanah Bahiyah,Kedah,60-64,21
2012,Hospital Sultanah Bahiyah,Kedah,other,13
2012,Hospital Sultanah Nora Ismail,Johor,17-24,1133
2012,Hospital Sultanah Nora Ismail,Johor,25-29,335
2012,Hospital Sultanah Nora Ismail,Johor,30-34,234
2012,Hospital Sultanah Nora Ismail,Johor,35-39,171
2012,Hospital Sultanah Nora Ismail,Johor,40-44,175
2012,Hospital Sultanah Nora Ismail,Johor,45-49,128
2012,Hospital Sultanah Nora Ismail,Johor,50-54,107
2012,Hospital Sultanah Nora Ismail,Johor,55-59,34
2012,Hospital Sultanah Nora Ismail,Johor,60-64,6
2012,Hospital Sultanah Nora Ismail,Johor,other,3
2012,Hospital Sultanah Nur Zahirah,Terengganu,17-24,4607
2012,Hospital Sultanah Nur Zahirah,Terengganu,25-29,626
2012,Hospital Sultanah Nur Zahirah,Terengganu,30-34,335
2012,Hospital Sultanah Nur Zahirah,Terengganu,35-39,198
2012,Hospital Sultanah Nur Zahirah,Terengganu,40-44,151
2012,Hospital Sultanah Nur Zahirah,Terengganu,45-49,107
2012,Hospital Sultanah Nur Zahirah,Terengganu,50-54,52
2012,Hospital Sultanah Nur Zahirah,Terengganu,55-59,12
2012,Hospital Sultanah Nur Zahirah,Terengganu,other,14
2012,Hospital Taiping,Perak,17-24,46
2012,Hospital Taiping,Perak,25-29,19
2012,Hospital Taiping,Perak,30-34,21
2012,Hospital Taiping,Perak,35-39,26
2012,Hospital Taiping,Perak,40-44,36
2012,Hospital Taiping,Perak,45-49,34
2012,Hospital Taiping,Perak,50-54,28
2012,Hospital Taiping,Perak,55-59,12
2012,Hospital Taiping,Perak,other,1
2012,Hospital Tengku Ampuan Afzan,Pahang,17-24,1101
2012,Hospital Tengku Ampuan Afzan,Pahang,25-29,195
2012,Hospital Tengku Ampuan Afzan,Pahang,30-34,127
2012,Hospital Tengku Ampuan Afzan,Pahang,35-39,96
2012,Hospital Tengku Ampuan Afzan,Pahang,40-44,76
2012,Hospital Tengku Ampuan Afzan,Pahang,45-49,47
2012,Hospital Tengku Ampuan Afzan,Pahang,50-54,27
2012,Hospital Tengku Ampuan Afzan,Pahang,55-59,10
2012,Hospital Tengku Ampuan Rahimah,Selangor,17-24,3862
2012,Hospital Tengku Ampuan Rahimah,Selangor,25-29,1670
2012,Hospital Tengku Ampuan Rahimah,Selangor,30-34,1367
2012,Hospital Tengku Ampuan Rahimah,Selangor,35-39,1063
2012,Hospital Tengku Ampuan Rahimah,Selangor,40-44,813
2012,Hospital Tengku Ampuan Rahimah,Selangor,45-49,550
2012,Hospital Tengku Ampuan Rahimah,Selangor,50-54,318
2012,Hospital Tengku Ampuan Rahimah,Selangor,55-59,115
2012,Hospital Tengku Ampuan Rahimah,Selangor,60-64,13
2012,Hospital Tengku Ampuan Rahimah,Selangor,other,17
2012,Hospital Tuanku Jaafar,Negeri Sembilan,17-24,3122
2012,Hospital Tuanku Jaafar,Negeri Sembilan,25-29,793
2012,Hospital Tuanku Jaafar,Negeri Sembilan,30-34,600
2012,Hospital Tuanku Jaafar,Negeri Sembilan,35-39,444
2012,Hospital Tuanku Jaafar,Negeri Sembilan,40-44,314
2012,Hospital Tuanku Jaafar,Negeri Sembilan,45-49,211
2012,Hospital Tuanku Jaafar,Negeri Sembilan,50-54,109
2012,Hospital Tuanku Jaafar,Negeri Sembilan,55-59,50
2012,Hospital Tuanku Jaafar,Negeri Sembilan,60-64,6
2012,Hospital Tuanku Jaafar,Negeri Sembilan,other,7
2013,Hospital Melaka,Melaka,17-24,6768
2013,Hospital Melaka,Melaka,25-29,1366
2013,Hospital Melaka,Melaka,30-34,958
2013,Hospital Melaka,Melaka,35-39,700
2013,Hospital Melaka,Melaka,40-44,602
2013,Hospital Melaka,Melaka,45-49,390
2013,Hospital Melaka,Melaka,50-54,259
2013,Hospital Melaka,Melaka,55-59,111
2013,Hospital Melaka,Melaka,60-64,9
2013,Hospital Melaka,Melaka,other,14
2013,Hospital Queen Elizabeth Ii,Sabah,17-24,3916
2013,Hospital Queen Elizabeth Ii,Sabah,25-29,1477
2013,Hospital Queen Elizabeth Ii,Sabah,30-34,1091
2013,Hospital Queen Elizabeth Ii,Sabah,35-39,782
2013,Hospital Queen Elizabeth Ii,Sabah,40-44,554
2013,Hospital Queen Elizabeth Ii,Sabah,45-49,401
2013,Hospital Queen Elizabeth Ii,Sabah,50-54,270
2013,Hospital Queen Elizabeth Ii,Sabah,55-59,111
2013,Hospital Queen Elizabeth Ii,Sabah,60-64,14
2013,Hospital Queen Elizabeth Ii,Sabah,other,31
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,17-24,3160
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,25-29,545
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,30-34,410
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,35-39,300
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,40-44,239
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,45-49,177
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,50-54,90
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,55-59,36
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,60-64,2
2013,Hospital Raja Perempuan Zainab Ii,Kelantan,other,9
2013,Hospital Raja Permaisuri Bainun,Perak,17-24,6141
2013,Hospital Raja Permaisuri Bainun,Perak,25-29,1148
2013,Hospital Raja Permaisuri Bainun,Perak,30-34,840
2013,Hospital Raja Permaisuri Bainun,Perak,35-39,634
2013,Hospital Raja Permaisuri Bainun,Perak,40-44,549
2013,Hospital Raja Permaisuri Bainun,Perak,45-49,341
2013,Hospital Raja Permaisuri Bainun,Perak,50-54,225
2013,Hospital Raja Permaisuri Bainun,Perak,55-59,88
2013,Hospital Raja Permaisuri Bainun,Perak,60-64,15
2013,Hospital Raja Permaisuri Bainun,Perak,other,41
2013,Hospital Seri Manjung,Perak,17-24,1536
2013,Hospital Seri Manjung,Perak,25-29,281
2013,Hospital Seri Manjung,Perak,30-34,156
2013,Hospital Seri Manjung,Perak,35-39,120
2013,Hospital Seri Manjung,Perak,40-44,125
2013,Hospital Seri Manjung,Perak,45-49,84
2013,Hospital Seri Manjung,Perak,50-54,29
2013,Hospital Seri Manjung,Perak,55-59,10
2013,Hospital Seri Manjung,Perak,60-64,2
2013,Hospital Sultan Haji Ahmad Shah,Pahang,17-24,1938
2013,Hospital Sultan Haji Ahmad Shah,Pahang,25-29,441
2013,Hospital Sultan Haji Ahmad Shah,Pahang,30-34,396
2013,Hospital Sultan Haji Ahmad Shah,Pahang,35-39,314
2013,Hospital Sultan Haji Ahmad Shah,Pahang,40-44,272
2013,Hospital Sultan Haji Ahmad Shah,Pahang,45-49,210
2013,Hospital Sultan Haji Ahmad Shah,Pahang,50-54,161
2013,Hospital Sultan Haji Ahmad Shah,Pahang,55-59,62
2013,Hospital Sultan Haji Ahmad Shah,Pahang,60-64,6
2013,Hospital Sultan Haji Ahmad Shah,Pahang,other,3
2013,Hospital Sultanah Aminah,Johor,17-24,3340
2013,Hospital Sultanah Aminah,Johor,25-29,1756
2013,Hospital Sultanah Aminah,Johor,30-34,1497
2013,Hospital Sultanah Aminah,Johor,35-39,1150
2013,Hospital Sultanah Aminah,Johor,40-44,807
2013,Hospital Sultanah Aminah,Johor,45-49,523
2013,Hospital Sultanah Aminah,Johor,50-54,310
2013,Hospital Sultanah Aminah,Johor,55-59,103
2013,Hospital Sultanah Aminah,Johor,60-64,7
2013,Hospital Sultanah Aminah,Johor,other,39
2013,Hospital Sultanah Bahiyah,Kedah,17-24,11576
2013,Hospital Sultanah Bahiyah,Kedah,25-29,2237
2013,Hospital Sultanah Bahiyah,Kedah,30-34,1808
2013,Hospital Sultanah Bahiyah,Kedah,35-39,1373
2013,Hospital Sultanah Bahiyah,Kedah,40-44,1016
